"","actor_name","http_link"
"1","A. K. Hangal","https://en.wikipedia.org//wiki/A._K._Hangal"
"2","Aadhi","https://en.wikipedia.org//wiki/Aadhi_(actor)"
"3","Aadi Pudipeddi","https://en.wikipedia.org//wiki/Aadi_(Telugu_actor)"
"4","Aamir Khan","https://en.wikipedia.org//wiki/Aamir_Khan"
"5","Aashish Chaudhary","https://en.wikipedia.org//wiki/Aashish_Chaudhary"
"6","Abbas","https://en.wikipedia.org//wiki/Abbas_(actor)"
"7","Abhay Deol","https://en.wikipedia.org//wiki/Abhay_Deol"
"8","Abhijeeth","https://en.wikipedia.org//wiki/Abhijeeth"
"9","Abhishek Bachchan","https://en.wikipedia.org//wiki/Abhishek_Bachchan"
"10","Abhimanyu Singh","https://en.wikipedia.org//wiki/Abhimanyu_Singh"
"11","Abijeet Duddala","https://en.wikipedia.org//wiki/Abijeet_Duddala"
"12","Achyuth Kumar","https://en.wikipedia.org//wiki/Achyuth_Kumar"
"13","Adharvaa","https://en.wikipedia.org//wiki/Adharvaa"
"14","Adhyayan Suman","https://en.wikipedia.org//wiki/Adhyayan_Suman"
"15","Adil Hussain","https://en.wikipedia.org//wiki/Adil_Hussain"
"16","Adithya Menon","https://en.wikipedia.org//wiki/Adithya"
"17","Aditya Babu","https://en.wikipedia.org//wiki/Aditya_Babu"
"18","Aditya Pancholi","https://en.wikipedia.org//wiki/Aditya_Pancholi"
"19","Aditya Roy Kapur","https://en.wikipedia.org//wiki/Aditya_Roy_Kapur"
"20","Adoor Bhasi","https://en.wikipedia.org//wiki/Adoor_Bhasi"
"21","Aftab Shivdasani","https://en.wikipedia.org//wiki/Aftab_Shivdasani"
"22","Ahuti Prasad","https://en.wikipedia.org//wiki/Ahuti_Prasad"
"23","Ajay Devgan","https://en.wikipedia.org//wiki/Ajay_Devgan"
"24","Ajay Sinh Rathod","https://en.wikipedia.org//wiki/Ajay_Sinh_Rathod"
"25","Ajay Rao","https://en.wikipedia.org//wiki/Ajay_Rao"
"26","Ajaz Khan","https://en.wikipedia.org//wiki/Ajaz_Khan"
"27","Ajinkya Dev","https://en.wikipedia.org//wiki/Ajinkya_Dev"
"28","Ajit Khan","https://en.wikipedia.org//wiki/Ajit_Khan"
"29","Ajith Kumar","https://en.wikipedia.org//wiki/Ajith_Kumar"
"30","Ajmal Ameer","https://en.wikipedia.org//wiki/Ajmal_Ameer"
"31","Aju Varghese","https://en.wikipedia.org//wiki/Aju_Varghese"
"32","Akshay Anand","https://en.wikipedia.org//wiki/Akshay_Anand"
"33","Akshay Kumar","https://en.wikipedia.org//wiki/Akshay_Kumar"
"34","Akshaye Khanna","https://en.wikipedia.org//wiki/Akshaye_Khanna"
"35","Akul Balaji","https://en.wikipedia.org//wiki/Akul_Balaji"
"36","Ali Basha","https://en.wikipedia.org//wiki/Ali_(actor)"
"37","Allari Naresh","https://en.wikipedia.org//wiki/Allari_Naresh"
"38","Allu Arjun","https://en.wikipedia.org//wiki/Allu_Arjun"
"39","Allu Sirish","https://en.wikipedia.org//wiki/Allu_Sirish"
"40","Alok Nath","https://en.wikipedia.org//wiki/Alok_Nath"
"41","Amar Talwar","https://en.wikipedia.org//wiki/Amar_Talwar"
"42","Ambareesh","https://en.wikipedia.org//wiki/Ambareesh"
"43","Amitabh Bachchan","https://en.wikipedia.org//wiki/Amitabh_Bachchan"
"44","Amjad Khan","https://en.wikipedia.org//wiki/Amjad_Khan_(actor)"
"45","Amol Palekar","https://en.wikipedia.org//wiki/Amol_Palekar"
"46","Amrish Puri","https://en.wikipedia.org//wiki/Amrish_Puri"
"47","Ananth Nag","https://en.wikipedia.org//wiki/Ananth_Nag"
"48","Anil Kapoor","https://en.wikipedia.org//wiki/Anil_Kapoor"
"49","Anjan Srivastav","https://en.wikipedia.org//wiki/Anjan_Srivastav"
"50","Ankush Hazra","https://en.wikipedia.org//wiki/Ankush_Hazra"
"51","Annu Kapoor","https://en.wikipedia.org//wiki/Annu_Kapoor"
"52","Anoop Kumar","https://en.wikipedia.org//wiki/Anoop_Kumar"
"53","Anoop Menon","https://en.wikipedia.org//wiki/Anoop_Menon"
"54","Anubhav Mohanty","https://en.wikipedia.org//wiki/Anubhav_Mohanty"
"55","Anuj Gurwara","https://en.wikipedia.org//wiki/Anuj_Gurwara"
"56","Anupam Kher","https://en.wikipedia.org//wiki/Anupam_Kher"
"57","Aravind Akash","https://en.wikipedia.org//wiki/Aravind_Akash"
"58","Arbaaz Khan","https://en.wikipedia.org//wiki/Arbaaz_Khan_(Indian_actor)"
"59","Arif Zakaria","https://en.wikipedia.org//wiki/Arif_Zakaria"
"60","Arjun Kapoor","https://en.wikipedia.org//wiki/Arjun_Kapoor"
"61","Arjun Mathur","https://en.wikipedia.org//wiki/Arjun_Mathur"
"62","Arjun Rampal","https://en.wikipedia.org//wiki/Arjun_Rampal"
"63","Arjun Sarja","https://en.wikipedia.org//wiki/Arjun_Sarja"
"64","Arshad Warsi","https://en.wikipedia.org//wiki/Arshad_Warsi"
