"","Year","Film"
"1","2017","Baadshaho"
"2","2016","Ae Dil Hai Mushkil"
"3","2016","Sarbjit"
"4","2015","Jazbaa"
"5","2010","Guzaarish"
"6","2010","Action Replay"
"7","2010","Enthiran"
"8","2010","Raavan"
"9","2010","Raavanan"
"10","2009","The Pink Panther 2"
"11","2008","Sarkar Raj"
"12","2008","Jodhaa Akbar"
"13","2007","The Last Legion"
"14","2007","Guru"
"15","2007","Journey Across India"
"16","2006","Dhoom 2"
"17","2006","Umrao Jaan"
"18","2006","Provoked: A True Story"
"19","2005","The Mistress of Spices"
"20","2005","Bunty Aur Babli"
"21","2005","Shabd"
"22","2004","Bride & Prejudice"
"23","2004","Kyun! Ho Gaya Na"
"24","2004","Raincoat"
"25","2004","Khakee"
"26","2003","Hum Panchi Ek Daal Ke"
"27","2003","Kuch Naa Kaho"
"28","2003","Chokher Bali"
"29","2003","Dil Ka Rishta"
"30","2002","Shakthi: The Power"
"31","2002","23rd March 1931: Shaheed"
"32","2002","Hum Kisi Se Kum Nahin"
"33","2002","Hum Tumhare Hain Sanam"
"34","2002","Devdas"
"35","2001","Albela"
"36","2000","Mohabbatein"
"37","2000","Dhaai Akshar Prem Ke"
"38","2000","Hamara Dil Aapke Paas Hai"
"39","2000","Josh"
"40","2000","Kandukondain Kandukondain"
"41","2000","Mela"
"42","1999","Ravoyi Chandamama"
"43","1999","Taal"
"44","1999","Hum Dil De Chuke Sanam"
"45","1999","Aa Ab Laut Chalen"
"46","1998","Jeans"
"47","1997","Aur Pyaar Ho Gaya"
"48","1997","Iruvar"
