"","Year","Film","Role","Notes"
"1","1983","Kaise Kaise Log","Pooja",NA
"2","1990","Neti Siddhartha","Basanti","Telugu film, starring Nagarjuna Akkineni"
"3","1991","kotha Dilam",NA,"Bengali Flim"
"4","1991","Kurbaan","Chandra Singh",NA
"5","1991","Meet Mere Man Ke",NA,NA
"6","1992","Anaam","Meghna",NA
"7","1992","Jo Jeeta Wohi Sikandar","Anjali",NA
"8","1992","Khiladi","Neelam Choudhury",NA
"9","1992","Kohra","Nisha",NA
"10","1992","Mashooq","Nisha Rai",NA
"11","1993","Balmaa",NA,NA
"12","1993","Dalaal","Roopali",NA
"13","1993","Dil Ki Baazi","Arti",NA
"14","1993","Kaise Kaise Rishte",NA,NA
"15","1993","Meherbaan",NA,NA
"16","1993","Rang","Pooja",NA
"17","1993","Sangram","Pallavi(saathi)",NA
"18","1993","Waqt Hamara Hai","Ayesha",NA
"19","1994","Brahma",NA,NA
"20","1994","Ekka Raja Rani",NA,NA
"21","1994","Jai Kishen","Anita",NA
"22","1994","Maha shaktishali",NA,NA
"23","1995","Aashique Mastaane","Malti",NA
"24","1995","Akele Hum Akele Tum",NA,"Friendly Appearance"
"25","1996","Masoom","Chanda",NA
"26","1996","Muqaddar",NA,NA
"27","1997","Chachi 420","Ratna","Special Appearance"
"28","1997","Ghoonghat",NA,NA
"29","1997","Judge Mujrim","Dancer/Singer","Special Appearance"
"30","1997","Suraj",NA,NA
"31","1997","Vishwavidhata","Radha Khanna",NA
"32","1998","Barood","Dancer",NA
"33","1998","Dand Nayak","Naina",NA
"34","1999","Hote Hote Pyar Ho Gaya","Shobha",NA
"35","1999","Kohram: The Explosion","Sweety",NA
"36","1999","Phool Aur Aag",NA,"Special Appearance in song ""Main Gaaon Dil Gaaye"""
"37","1999","Purush","kahani kismat ki",NA
"38","2000","Khalsa Mero Roop Hai Khaas","Channi",NA
"39","2000","Shikaar","Anju Gupta",NA
"40","2001","Censor","Shakeela",NA
"41","2001","Hadh",NA,NA
"42","2002","Amma","Roopa",NA
"43","2003","Aanch","Devangi M. Thakur",NA
"44","2004","Jai","Jai's Mother","Telugu film"
"45","2004","Run","Shivani",NA
"46","2005","Double Cross: Ek Dhoka","Sonia",NA
"47","2005","Socha Na Tha","Viren's bhabhi",NA
"48","2006","Jackpot",NA,NA
"49","2006","Janani",NA,NA
"50","2006","Rakate Lekhichi Naa",NA,"Oriya film"
"51","2006","Umrao Jaan","Khurshid",NA
"52","2009","Keshyog",NA,NA
"53","2010","ADA A Way of Life",NA,NA
"54",NA,"Aulad ke Dushman","Shalu Kumar",NA
"55",NA,"Haye Meri Jaan","Neelam",NA
