"","Year","Film","Role","Notes"
"1","1989","Maine Pyar Kiya","Suman","Winner—Filmfare Award for Best Female Debut
Nominated—Filmfare Award for Best Actress"
"2","1992","Qaid Mein Hai Bulbul","Pooja Choudhry",NA
"3","1992","Tyagi","Aarti Shakti Dayal",NA
"4","1992","Paayal","Paayal",NA
"5","1993","Ghar Aaya Mera Pardesi","Roopa",NA
"6","1997","Ammavra Ganda",NA,"Kannada film"
"7","1997","Sautan Ki Sautan",NA,NA
"8","1997","Omkaram","Shashi","Telugu film"
"9","1998","Rana","Dr. Kasthuri","Telugu film"
"10","1999","Satru Dhwansa",NA,NA
"11","2001","Hello Girls",NA,NA
"12","2003","Avunaa!",NA,NA
"13","2003","Maa Santoshi Maa",NA,NA
"14","2005","Uthaile Ghoonghta Chand Dekhle",NA,"Bhojpuri film"
"15","2005","Ego Chumma Deda Rajaji",NA,"Bhojpuri film"
"16","2006","Humko Deewana Kar Gaye","Simran Kohli","Special appearance"
"17","2006","Janani","Akanksha",NA
"18","2006","Gandugali Kumara Rama",NA,"Kannada film"
"19","2007","Janam Janam Ke Saath","Jyoti","Bhojpuri film"
"20","2007","Mumbai Aamchich",NA,"Marathi film"
"21","2009","Zhak Marli Bayko Keli",NA,"Marathi film"
"22","2010","Sati Behula",NA,"Bangladeshi film"
"23","2010","Red Alert: The War Within","Uma",NA
