"","Year","Film","Role","Notes"
"1",1973,"Bobby","Bobby J. Braganza","Filmfare Award for Best Actress"
"2",1984,"Zakhmi Sher","Anu Gupta",NA
"3",1984,"Manzil Manzil","Seema Malhotra",NA
"4",1985,"Aitbaar","Neha Khanna",NA
"5",1985,"Lavaa","Rinku Dayal",NA
"6",1985,"Arjun","Geeta Sahani",NA
"7",1985,"Pataal Bhairavi","Yaskankya",NA
"8",1985,"Saagar","Mona D'Silva","Filmfare Award for Best Actress"
"9",1986,"Vikram","Princess Inimaasi","Tamil film"
"10",1986,"Janbaaz","Reshma Rai",NA
"11",1986,"Allah Rakha","Julie Khera",NA
"12",1987,"Insaniyat Ke Dushman","Shilpa",NA
"13",1987,"Insaaf","Sonia/Dr. Sarita",NA
"14",1987,"Kaash","Pooja",NA
"15",1988,"Saazish","Meena",NA
"16",1988,"Mera Shikar","Bijli",NA
"17",1988,"Gunahon Ka Faisla","Shanu/Durga",NA
"18",1988,"Bees Saal Baad","Nisha",NA
"19",1988,"Aakhri Adaalat","Rima Kapoor",NA
"20",1988,"Kabzaa","Dr. Smita",NA
"21",1988,"Mahaveera","Dolly",NA
"22",1988,"Zakhmi Aurat","Kiran Dutt",NA
"23",1988,"Ganga Tere Desh Mein","Princess",NA
"24",1989,"Ram Lakhan","Geeta Kashyap",NA
"25",1989,"Action",NA,NA
"26",1989,"Touhean","Deepika Srivastava",NA
"27",1989,"Batwara","Jinna",NA
"28",1989,"Sikka","Shobha",NA
"29",1989,"Shehzaade","Aarti","Uncredited"
"30",1989,"Ladaai","Billoo",NA
"31",1990,"Pati Parmeshwar","Durga",NA
"32",1990,"Kali Ganga",NA,NA
"33",1990,"Jai Shiv Shankar",NA,NA
"34",1990,"Aag Ka Gola","Aarti",NA
"35",1990,"Pyar Ke Naam Qurbaan","Rajkumari Devika Singh",NA
"36",1990,"Drishti","Sandhya",NA
"37",1991,"Lekin","Reva","Nominated—Filmfare Award for Best Actress"
"38",1991,"Prahaar: The Final Attack","Kiran",NA
"39",1991,"Naramsimha","Anita V. Rastogi",NA
"40",1991,"Mast Kalandar","Prit Kaur",NA
"41",1991,"Haque","Varsha B. Singh",NA
"42",1991,"Khoon Ka Karz","Tara K. Lele",NA
"43",1991,"Dushman Devta","Gauri",NA
"44",1991,"Ajooba","Rukhsana Khan",NA
"45",1991,"Ranbhoomi","Prostitute",NA
"46",1992,"Karm Yodha","Namita",NA
"47",1992,"Angaar","Mili",NA
"48",1992,"Dil Aashna Hai","Barkha",NA
"49",1993,"Rudaali","Shanichari","National Film Award for Best ActressFilmfare Critics Award for Best Actress
Nominated—Filmfare Award for Best Actress"
"50",1993,"Gunaah","Kavita Sharma",NA
"51",1993,"Aaj Kie Aurat","Roshni Verma",NA
"52",1993,"Gardish","Shanti","Nominated—Filmfare Award for Best Supporting Actress"
"53",1994,"Pathreela Raasta","Gayatri Sanyal",NA
"54",1994,"Krantiveer","Megha Dixit","Filmfare Award for Best Supporting Actress"
"55",1994,"Antareen","The Woman","Bengali film"
"56",1997,"Share Bazaar",NA,"Special appearance"
"57",1997,"Agnichakra","Rani",NA
"58",1997,"Mrityudata","Mrs. Janki Ghayal",NA
"59",1998,"2001: Do Hazaar Ek","Mrs. Roshni Sharma",NA
"60",1999,"Laawaris","Mrs. Kavita Saxena",NA
"61",1999,"Hum Tum Pe Marte Hain","Devyani",NA
"62",2001,"Dil Chahta Hai","Tara Jaiswal",NA
"63",2002,"Leela","Leela",NA
"64",2004,"Hum Kaun Hai","Sandra Williams",NA
"65",2005,"Pyaar Mein Twist","Sheetal Arya",NA
"66",2006,"Being Cyrus","Katy Sethna",NA
"67",2006,"Banaras - A Mystic Love Story","Gayatri",NA
"68",2008,"Phir Kabhi","Ganga",NA
"69",2008,"Jumbo","Devi (Voice-over)",NA
"70",2009,"Luck by Chance","Neena Walia","Nominated—Filmfare Award for Best Supporting Actress"
"71",2010,"Tum Milo Toh Sahi","Delshad Nanji",NA
"72",2010,"Dabangg","Naini P. Pandey",NA
"73",2011,"Patiala House","Mrs. Kahlon",NA
"74",2012,"Bombay Mittayi","Mrs. Mansoor","Malayalam film"
"75",2012,"Cocktail","Kavita Kapoor",NA
"76",2013,"What the Fish","Sudha Mishra",NA
"77",2014,"Gollu Aur Pappu","Amma",NA
"78",2014,"Finding Fanny","Rosalina ""Rosie"" Eucharistica","Nominated—Filmfare Award for Best Supporting Actress"
"79",2015,"Welcome Back","Maha Rani",NA
