"","Year","Film"
"1","2005","Shikhar"
"2","2004","Hulchul"
"3","2002","Bharat Bhagya Vidhata"
"4","2000","Bhai No 1"
"5","1998","Achanak"
"6","1997","Lahoo Ke Do Rang"
"7","1996","Hukumnama"
"8","1996","Rab Dian Rakhan"
"9","1996","Maahir"
"10","1996","Namak"
"11","1996","Sautela Bhai"
"12","1995","Bhai Ho To Aisa"
"13","1995","Hijack"
"14","1995","Sarhad: The Border of Crime"
"15","1995","Taaqat"
"16","1995","Fauji"
"17","1994","Janam Se Pehle"
"18","1994","Chauraha"
"19","1994","Insaaf Apne Lahoo Se"
"20","1993","Izzat Ki Roti"
"21","1993","Dhartiputra"
"22","1993","Muqabla"
"23","1993","Jeevan Ki Shatranj"
"24","1993","Kundan"
"25","1993","Zakhmo Ka Hisaab"
"26","1992","Isi Ka Naam Zindagi"
"27","1992","Naseebwaala"
"28","1991","Paap Ki Aandhi"
"29","1991","Begunaah"
"30","1991","Balidaan"
"31","1990","Pati Patni Aur Tawaif"
"32","1990","Baap Numbri Beta Dus Numbri"
"33","1990","Haar Jeet"
"34","1990","Jawani Zindabad"
"35","1990","Jeene Do"
"36","1990","Kaarnama"
"37","1990","Khatarnaak"
"38","1990","Veeru Dada"
"39","1989","Ontari Poratam"
"40","1989","Rakhwala"
"41","1989","Do Qaidi"
"42","1989","Aamar Tumi"
"43","1989","Kala Bazaar"
"44","1989","Majboor"
"45","1989","Meri Zabaan"
"46","1989","Naqaab"
"47","1988","Paap Ko Jalaa Kar Raakh Kar Doonga"
"48","1988","Halaal Ki Kamai"
"49","1988","Ghar Ghar Ki Kahani"
"50","1988","Mohabbat Ke Dushman"
"51","1988","Hamara Khandaan"
"52","1988","Mahakali"
"53","1988","Woh Phir Aayegi"
"54","1988","Yateem"
"55","1987","Vijetha Vikram"
"56","1987","Diljalaa"
"57","1987","Imaandaar"
"58","1987","7 Saal Baad"
"59","1987","Marte Dam Tak"
"60","1986","Love 86"
"61","1986","Naseeb Apna Apna"
"62","1986","Palay Khan"
"63","1985","Faasle"
"64","1984","Nasbandi"
