"","Year","Film","Role","Notes"
"1",1963,"Yeh Raaste Hain Pyar Ke",NA,"Child artist"
"2",1967,"Taqdeer","Geeta (Youngest daughter of Gopal)",NA
"3",1968,"Baharon ki Manzil",NA,NA
"4",1969,"Mahal",NA,NA
"5",1969,"Aradhana","Renu","Nominated—Filmfare Award for Best Supporting Actress"
"6",1970,"Puraskar","Reshma",NA
"7",1970,"Naya Raasta","Radha Pratap Singh",NA
"8",1970,"Gopi","Nandini",NA
"9",1970,"Devi","Shobha",NA
"10",1971,"Paras","Bela Singh","Filmfare Best Supporting Actress Award
BFJA Awards for Best Supporting Actress (Hindi)"
"11",1971,"Khoj",NA,NA
"12",1971,"Amar Prem","Mrs. Nandkishore Sharma",NA
"13",1971,"Pyar Ki Kahani","Lata",NA
"14",1972,"Zindagi Zindagi","Shyama",NA
"15",1972,"Rivaaj",NA,NA
"16",1972,"Buniyaad",NA,NA
"17",1973,"Heera",NA,NA
"18",1973,"Bobby","Alka Sharma 'Nikki'",NA
"19",1973,"Achanak","Nurse Radha",NA
"20",1973,"Raja Rani","Anita","uncredited"
"21",1973,"Loafer","Roopa (Gopinath's daughter)",NA
"22",1974,"Naya Din Nai Raat",NA,NA
"23",1974,"Jeevan Rekha",NA,NA
"24",1974,"Majboor","Renu Khanna","Nominated—Filmfare Award for Best Supporting Actress"
"25",1974,"Uljhan","Kamla",NA
"26",1974,"Sankalp","Geeta Sehgal",NA
"27",1975,"Khushboo","Kusum's friend",NA
"28",1975,"Kala Sona","Bela",NA
"29",1975,"Do Jasoos","Hema Khushalchand",NA
"30",1975,"Dhoti Lota Aur Chowpatty","Rajni",NA
"31",1975,"Dharmatma","Mona",NA
"32",1975,"Aakraman","Asha",NA
"33",1976,"Shaque","Mrs. Subramaniam","Nominated—Filmfare Award for Best Supporting Actress"
"34",1976,"Sabse Bada Rupaiya","Bindiya/Shobha",NA
"35",1976,"Koi Jeeta Koi Haara",NA,NA
"36",1976,"Bandalbaaz","Malti",NA
"37",1977,"Kasam Khoon Ki","Ganga",NA
"38",1977,"Alaap","Sulakshana Gupta",NA
"39",1977,"Abhi To Jee Lein","The Nun",NA
"40",1977,"Aakhri Goli",NA,NA
"41",1977,"Shatranj Ke Khiladi","Nafisa (Mir's wife)",NA
"42",1977,"Palkon Ki Chhaon Mein","Chhutki",NA
"43",1978,"Naya Daur",NA,NA
"44",1978,"Ganga Ki Saugand","Champa","guest appearance"
"45",1979,"Jurmana","Laila","Nominated—Filmfare Award for Best Supporting Actress"
"46",1979,"Dhongee","Geeta Khanna",NA
"47",1980,"Patthar Se Takkar",NA,NA
"48",1980,"Chambal Ki Kasam",NA,NA
"49",1980,"Abdullah","Yashoda","uncredited"
"50",1981,"Jwala Daku","Sita (Jwala's sister-in-law)",NA
"51",1981,"Yaarana","Mary (Governess)","uncredited"
"52",1983,"Salam e Mohabbat",NA,NA
"53",1988,"Pushpak","Magician's wife",NA
"54",1991,"Henna","Bibi Gul","Filmfare Best Supporting Actress Award"
"55",1992,"Paayal","Shanti Devi",NA
"56",1992,"Bekhudi","Aunty",NA
"57",1992,"Kal Ki Awaz","Akbari",NA
"58",1992,"Dil Aashna Hai","Razia",NA
"59",1993,"Gardish","Lakshmi (Shiva's mother)",NA
"60",1994,"Mammo","Mehmooda Begum Anwar Ali ""Mammo""","Filmfare Critics Award for Best PerformanceBengal Film Journalists Association Best Actress Award"
"61",1994,"Laadla","Gayetri Verma",NA
"62",1994,"Krantiveer","Mrs. Tilak (Pratap's Mother)",NA
"63",1994,"Elaan","Revati Chaudhry",NA
"64",1994,"Dulaara","Florence",NA
"65",1995,"Andolan",NA,NA
"66",1995,"Jawab",NA,NA
"67",1995,"Veergati",NA,NA
"68",1995,"Dilwale Dulhania Le Jayenge","Lajwanti, ""Lajjo""","Filmfare Best Supporting Actress Award"
"69",1996,"Shastra",NA,NA
"70",1996,"Rajkumar","Panna (Dai maa)",NA
"71",1996,"Loafer","Janki Kumar",NA
"72",1996,"Dushman Duniya Ka","Manager of women's shelter",NA
"73",1996,"Raja Hindustani","Chachi (Raja's aunt)",NA
"74",1996,"Angaara","Saraswati",NA
"75",1996,"Ajay","Ajay's Mother",NA
"76",1997,"Saat Rang Ke Sapne","Yashoda",NA
"77",1997,"Mrityudaata","Mother Ghayal",NA
"78",1997,"Mohabbat","Geeta Kapoor",NA
"79",1997,"Judaai","Kajal's mom",NA
"80",1997,"Zor",NA,NA
"81",1997,"Lahoo Ke Do Rang","Halima",NA
"82",1997,"Ziddi","Jaya's mother",NA
"83",1997,"Dil To Pagal Hai","Ajay's mom",NA
"84",1997,"Aflatoon","Raja's mother",NA
"85",1998,"Salaakhen","Mother",NA
"86",1998,"Duplicate","Mrs. Chaudhary ""Bebe""",NA
"87",1998,"Jab Pyaar Kisise Hota Hai","Komal's mother",NA
"88",1998,"Soldier","Shanti Sinha",NA
"89",1998,"Kuch Kuch Hota Hai","Mrs. Khanna (Rahul's mom)",NA
"90",1999,"Dil Kya Kare",NA,NA
"91",1999,"Hindustan Ki Kasam","Mother of Ajay and Tauheed",NA
"92",1999,"Khoobsurat","Sudha Chaudhary (Dadiji)",NA
"93",2000,"Kaho Naa Pyaar Hai","Lily (Rohit's landlady)",NA
"94",2000,"Hey Ram","Kasturba Gandhi","Simultaneously made in Tamil and Hindi"
"95",2000,"Dulhan Hum Le Jayenge","Mrs. Oberoi",NA
"96",2000,"Pukar","Gayetri Rajvansh",NA
"97",2000,"Khauff","Mrs. Jaidev Singh",NA
"98",2000,"Kya Kehna","Rohini Baxi (Priya's mo)",NA
"99",2000,"Bichhoo","Jeeva's mom",NA
"100",2000,"Tera Jadoo Chal Gayaa","Pooja's mother",NA
"101",2000,"Gaja Gamini","Noorbibi",NA
"102",2001,"Farz","Rukmani Singh",NA
"103",2001,"Zubeidaa","Mammo",NA
"104",2001,"Chori Chori Chupke Chupke","Asha Malhotra",NA
"105",2001,"Lajja","Mother of Bride",NA
"106",2001,"Moksha: Salvation","Salim's mother",NA
