"","Year","Film"
"1",NA,"Shimla Mirchi"
"2","2016","Aman Ke Farishtey"
"3","2014","Andaaz"
"4","2011","Tell Me O Kkhuda"
"5","2011","Aarakshan"
"6","2011","Bbuddah Hoga Terra Baap"
"7","2010","Sadiyaan: Boundaries Divide Love Unites"
"8","2007","Gangotri"
"9","2007","Bhool Bhulaiyaa"
"10","2007","Laaga Chunari Mein Daag: Journey of a Woman"
"11","2006","Baabul"
"12","2006","Ganga"
"13","2005","Bhagmati"
"14","2004","Veer-Zaara"
"15","2004","Kamini Damini"
"16","2003","Baghban"
"17","2002","Ma Shakti"
"18","2001","Censor"
"19","2000","Kinnara Thumbikal"
"20","2000","Hey Ram"
"21","1999","Jai Mata Ki"
"22","1997","Himalay Putra"
"23","1996","Aatank"
"24","1996","Maahir"
"25","1996","Jai Dhakshineshwari Kali Maa"
"26","1996","Yug"
"27","1995","Param Vir Chakra"
"28","1995","Terah Panne"
"29","1994","Vivekananda"
"30","1993","Adalat"
"31","1992","Jai Kaali"
"32","1992","Maarg"
"33","1991","Hai Meri Jaan"
"34","1991","Deshwasi"
"35","1990","Noopur"
"36","1990","Jamai Raja"
"37","1990","Shadyantra"
"38","1990","Lekin"
"39","1990","Insaaf Ka Suraj"
"40","1989","Galiyon Ka Badshah"
"41","1989","Indira"
"42","1989","Paap Ka Ant"
"43","1989","Desh Ke Dushman"
"44","1989","Santosh"
"45","1989","Sachché Ká Bol-Bálá"
"46","1988","Mulzim"
"47","1988","Rihaee"
"48","1988","Vijay"
"49","1988","Mohabbat Ke Dushman"
"50","1987","Apne Apne"
"51","1987","Sitapur Ki Geeta"
"52","1987","Kudrat Ka Kanoon"
"53","1987","Jaan Hatheli Pe"
"54","1987","Hiraasat"
"55","1987","Anjaam"
"56","1986","Ek Chadar Maili Si"
"57","1985","Phaansi Ke Baad"
"58","1985","Babu"
"59","1985","Durgaa"
"60","1985","Yudh"
"61","1985","Ramkali"
"62","1985","Aandhi-Toofan"
"63","1985","Hum Dono"
"64","1984","Ek Naya Itihas"
"65","1984","Qaidi"
"66","1984","Raaj Tilak"
"67","1984","Sharara"
"68","1984","Ram Tera Desh"
"69","1984","Ek Nai Paheli"
"70","1983","Justice Chaudhury"
"71","1983","Andhaa Kanoon"
"72","1983","Nastik"
"73","1983","Taqdeer"
"74","1983","Razia Sultan"
"75","1982","Farz Aur Kanoon"
"76","1982","Samraat"
"77","1982","Meharbaani"
"78","1982","Desh Premee"
"79","1982","Rajput"
"80","1982","Suraag"
"81","1982","Satte Pe Satta"
"82","1982","Baghavat"
"83","1981","Jyoti"
"84","1981","Maan Gaye Ustaad"
"85","1981","Meri Aawaz Suno"
"86","1981","Dard"
"87","1981","Naseeb"
"88","1981","Kudrat"
"89","1981","Kranti"
"90","1981","Krodhi"
"91","1981","Aas Paas"
"92","1980","Bandish"
"93","1980","The Burning Train"
"94","1980","Do Aur Do Paanch"
"95","1979","Janta Hawaldar"
"96","1979","Ratnadeep"
"97","1979","Hum Tere Ashiq Hain"
"98","1979","Meera"
"99","1979","Dil Kaa Heera"
"100","1979","Alibaba Aur 40 Chor"
"101","1978","Dillagi"
"102","1978","Apna Khoon"
"103","1978","Azaad"
"104","1978","Trishul"
"105","1977","Chacha Bhatija"
"106","1977","Dream Girl"
"107","1977","Kinara"
"108","1977","Shirdi Ke Sai Baba"
"109","1977","Swami"
"110","1977","Tinku"
"111","1977","Palkon Ki Chhaon Mein"
"112","1977","Khel Khilari Ka"
"113","1977","Dhoop Chhaon"
"114","1976","Aap Beati"
"115","1976","Barood"
"116","1976","Ginny Aur Johny"
"117","1976","Maa"
"118","1976","Naach Uthe Sansaar"
"119","1976","Jaaneman"
"120","1976","Mehbooba"
"121","1976","Charas"
"122","1976","Dus Numbri"
"123","1976","Sharafat Chod Di Maine"
"124","1975","Do Thug"
"125","1975","Kahte Hain Mujhko Raja"
"126","1975","Sanyasi"
"127","1975","Sunehra Sansar"
"128","1975","Sholay"
"129","1975","Pratiggya"
"130","1975","Khushboo"
"131","1975","Dharmatma"
"132","1975","Mrig Trishna"
"133","1974","Dulhan"
"134","1974","Haath Ki Safai"
"135","1974","Patthar Aur Payal"
"136","1974","Kasauti"
"137","1974","Amir Garib"
"138","1974","Prem Nagar"
"139","1974","Dost"
"140","1974","Hare Krishna"
"141","1973","Prem Parvat"
"142","1973","Shareef Budmaash"
"143","1973","Joshila"
"144","1973","Jugnu"
"145","1973","Gehri Chaal"
"146","1973","Chhupa Rustam"
"147","1973","Pandav Banvas"
"148","1972","Babul Ki Galiyaan"
"149","1972","Garam Masala"
"150","1972","Gora Aur Kala"
"151","1972","Raja Jani"
"152","1972","Seeta Aur Geeta"
"153","1972","Bhai Ho To Aisa"
"154","1971","Andaz"
"155","1971","Lal Patthar"
"156","1971","Naya Zamana"
"157","1971","Paraya Dhan"
"158","1971","Tere Mere Sapne"
"159","1970","Aansoo Aur Muskan"
"160","1970","Sharafat"
"161","1970","Shri Krishna Vijayam"
"162","1970","Johny Mera Naam"
"163","1970","Tum Haseen Main Jawan"
"164","1970","Abhinetri"
"165","1969","Waris"
"166","1969","Jahan Pyar Mile"
"167","1968","Sapnon Ka Saudagar"
"168","1965","Pandava Vanavasam"
