"","actresses_name","http_link"
"1","Adah Sharma","https://en.wikipedia.org//wiki/Adah_Sharma"
"2","Aditi Sharma","https://en.wikipedia.org//wiki/Aditi_Sharma"
"3","Aditi Govitrikar","https://en.wikipedia.org//wiki/Aditi_Govitrikar"
"4","Aditi Rao Hydari","https://en.wikipedia.org//wiki/Aditi_Rao_Hydari"
"5","Aditi Sarangdhar","https://en.wikipedia.org//wiki/Aditi_Sarangdhar"
"6","Additi Gupta","https://en.wikipedia.org//wiki/Additi_Gupta"
"7","Aindrita Ray","https://en.wikipedia.org//wiki/Aindrita_Ray"
"8","Aishwarya","https://en.wikipedia.org//wiki/Aishwarya_(actress)"
"9","Aishwarya Arjun","https://en.wikipedia.org//wiki/Aishwarya_Arjun"
"10","Aishwarya Devan","https://en.wikipedia.org//wiki/Aishwarya_Devan"
"11","Aishwarya Nag","https://en.wikipedia.org//wiki/Aishwarya_Nag"
"12","Aishwarya Rai","https://en.wikipedia.org//wiki/Aishwarya_Rai"
"13","Aksha Pardasany","https://en.wikipedia.org//wiki/Aksha_Pardasany"
"14","Akshara Gowda","https://en.wikipedia.org//wiki/Akshara_Gowda"
"15","Akshara Haasan","https://en.wikipedia.org//wiki/Akshara_Haasan"
"16","Akshara Menon","https://en.wikipedia.org//wiki/Akshara_Menon"
"17","Alia Bhatt","https://en.wikipedia.org//wiki/Alia_Bhatt"
"18","Amala","https://en.wikipedia.org//wiki/Amala_(actress)"
"19","Amala Paul","https://en.wikipedia.org//wiki/Amala_Paul"
"20","Ambika","https://en.wikipedia.org//wiki/Ambika_(actress)"
"21","Ameeta","https://en.wikipedia.org//wiki/Ameeta"
"22","Ameesha Patel","https://en.wikipedia.org//wiki/Ameesha_Patel"
"23","Amoolya","https://en.wikipedia.org//wiki/Amoolya"
"24","Amrita Arora","https://en.wikipedia.org//wiki/Amrita_Arora"
"25","Amrita Prakash","https://en.wikipedia.org//wiki/Amrita_Prakash"
"26","Amrita Rao","https://en.wikipedia.org//wiki/Amrita_Rao"
"27","Amrita Singh","https://en.wikipedia.org//wiki/Amrita_Singh"
"28","Amruta Khanvilkar","https://en.wikipedia.org//wiki/Amruta_Khanvilkar"
"29","Amyra Dastur","https://en.wikipedia.org//wiki/Amyra_Dastur"
"30","Amy Jackson","https://en.wikipedia.org//wiki/Amy_Jackson"
"31","Anaika Soti","https://en.wikipedia.org//wiki/Anaika_Soti"
"32","Ananya","https://en.wikipedia.org//wiki/Ananya_(actress)"
"33","Anaswara Kumar","https://en.wikipedia.org//wiki/Anaswara_Kumar"
"34","Andrea Jeremiah","https://en.wikipedia.org//wiki/Andrea_Jeremiah"
"35","Anita Hassanandani","https://en.wikipedia.org//wiki/Anita_Hassanandani"
"36","Anita Guha","https://en.wikipedia.org//wiki/Anita_Guha"
"37","Anita Raj","https://en.wikipedia.org//wiki/Anita_Raj"
"38","Anjala Zhaveri","https://en.wikipedia.org//wiki/Anjala_Zhaveri"
"39","Anjali","https://en.wikipedia.org//wiki/Anjali_(actress_born_1986)"
"40","Anjali Devi","https://en.wikipedia.org//wiki/Anjali_Devi"
"41","Anjali Sudhakar","https://en.wikipedia.org//wiki/Anjali_Sudhakar"
"42","Anjana Bhowmick","https://en.wikipedia.org//wiki/Anjana_Bhowmick"
"43","Anjana Sukhani","https://en.wikipedia.org//wiki/Anjana_Sukhani"
