"","Year","Film","Language","Notes"
"1",1974,"Bhoomi Kosam","Telugu",NA
"2",1976,"Manmatha Leelai","Tamil",NA
"3",1976,"Anthuleni Katha","Telugu","Nandi Special Jury Award"
"4",1976,"Seeta Kalyanam","Telugu",NA
"5",1976,"Mangalyaniki Maromudi","Telugu",NA
"6",1976,"Shri Rajarajeshwari Vilas Coffee Club","Telugu",NA
"7",1977,"Bhadrakali","Telugu","Ilaiyaraaja First Telugu Music Film"
"8",1977,"Adavi Ramudu","Telugu",NA
"9",1977,"Kurukshetram","Telugu","Uttara"
"10",1977,"Eenati Bandham Enatido","Telugu",NA
"11",1977,"Chanakya Chandragupta","Telugu",NA
"12",1977,"Yamagola","Telugu",NA
"13",1977,"Sanaadi Appanna","Kannada",NA
"14",1978,"Siri Siri Muvva","Telugu",NA
"15",1978,"Atanikante Ghanudu","Telugu",NA
"16",1978,"Agent Gopi","Telugu",NA
"17",1979,"Sargam","Hindi","Nominated – Filmfare Award for Best Actress"
"18",1979,"Huliya Haalina Mevu","Kannada",NA
"19",1979,"Ninaithale Inikkum","Tamil",NA
"20",1979,"Andamaina Anubhavam","Telugu",NA
"21",1979,"Lok Parlok","Hindi",NA
"22",1980,"Buchchi Babu","Telugu",NA
"23",1980,"Bandodu Gundamma","Telugu",NA
"24",1980,"Takkar","Hindi",NA
"25",1981,"Taxi Driver","Telugu",NA
"26",1981,"Rahasya Goodachari","Telugu",NA
"27",1981,"47 Natkal","Tamil",NA
"28",1981,"47 Rojulu","Telugu",NA
"29",1982,"Kaamchor","Hindi",NA
"30",1982,"Dil-e-Nadaan","Hindi",NA
"31",1983,"Sagara Sangamam","Telugu","Filmfare Award for Best Telugu Actress"
"32",1983,"Qayamat","Hindi",NA
"33",1983,"Mawaali","Hindi",NA
"34",1983,"Meghasandesam","Telugu",NA
"35",1983,"Mundadugu","Telugu",NA
"36",1983,"Kaviratna Kalidasa","Kannada",NA
"37",1984,"Tohfa","Hindi",NA
"38",1984,"Sharaabi","Hindi","Nominated – Filmfare Award for Best Actress"
"39",1984,"Maqsad","Hindi",NA
"40",1985,"Maha Sangramam","Telugu",NA
"41",1985,"Sanjog","Hindi","Nominated – Filmfare Award for Best Actress"
"42",1985,"Hoshiyar","Hindi",NA
"43",1985,"Zabardast","Hindi",NA
"44",1985,"Iniyum Katha Thudarum","Malayalam","Nimmi"
"45",1986,"Tandra Paparayudu","Telugu",NA
"46",1986,"Simhasanam","Telugu",NA
"47",1986,"Prajarajyam","Telugu",NA
"48",1986,"Veta","Telugu",NA
"49",1986,"Aakhree Raasta","Hindi",NA
"50",1986,"Swarag Se Sunder","Hindi",NA
"51",1986,"Muddat","Hindi",NA
"52",1987,"Aulad","Hindi",NA
"53",1987,"Majaal","Hindi",NA
"54",1988,"Gangaa Jamunaa Saraswati","Hindi",NA
"55",1989,"Jaadugar","Hindi",NA
"56",1989,"Main Tera Dushman","Hindi",NA
"57",1989,"Elaan-E-Jung","Hindi",NA
"58",1990,"Aaj Ka Arjun","Hindi",NA
"59",1990,"Thanedaar","Hindi",NA
"60",1990,"Ekalavya","Kannada",NA
"61",1991,"Indrajeet","Hindi",NA
"62",1991,"Veerta","Hindi",NA
"63",1991,"Farishtay","Hindi",NA
"64",1992,"Maa","Hindi",NA
"65",1992,"Aathma Bandhana","Kannada",NA
"66",1993,"Insaniyat Ke Devta","Hindi",NA
"67",1993,"Manikantana Mahime","Kannada",NA
"68",1993,"Ezhai Jaathi","Tamil",NA
"69",1993,"Dhartiputra","Hindi",NA
"70",1994,"Insaaniyat","Hindi",NA
"71",1994,"Naya Kadam","Hindi",NA
"72",1995,"Himapatha","Kannada",NA
"73",1995,"Paappi Devataa","Hindi",NA
"74",1997,"Jeevan Yudh","Hindi",NA
"75",1997,"Prema Geethe","Kannada",NA
"76",1998,"Aami Sei Meye","Bengali",NA
"77",1999,"Habba","Kannada",NA
"78",2000,"Devadoothan","Malayalam",NA
"79",2000,"Aadhar","Marathi",NA
"80",2000,"Shabdavedhi","Kannada",NA
"81",2003,"Sri Renukadevi","Kannada",NA
"82",2004,"Khakee","Hindi",NA
"83",2004,"Ee Snehatheerathu","Malayalam","Lakshmi"
"84",2006,"Tathastu","Hindi",NA
"85",2007,"Ee Bandhana","Kannada","Nandini"
"86",2007,"Maharathi","Telugu",NA
"87",2007,"Dasavatharam","Tamil",NA
"88",2009,"Sesh Sangat","Bengali",NA
"89",2009,"Raaj The Showman","Kannada","Special appearance"
"90",2010,"The Desire","Hindi/English/Chinese",NA
"91",2011,"Pranayam","Malayalam","Nominated – Filmfare Award for Best Actress - MalayalamAsianet Special jury award
Various other Awards"
"92",2012,"Krantiveera Sangolli Rayanna","Kannada","Nominated - Filmfare Award for Best Supporting Actress - Kannada"
"93",2013,"Rajjo","Hindi",NA
