"","Year","Film","Role","Notes","Director"
"1","1991","Prem Qaidi","Neelima",NA,"K. Murali Mohan Rao"
"2","1992","Police Officer","Bijali",NA,"Ashok Gaikwad"
"3","1992","Jaagruti","Shalu",NA,"Suresh Krissna"
"4","1992","Nishchaiy","Payal",NA,"Esmayeel Shroff"
"5","1992","Sapne Sajan Ke","Jyoti",NA,"Lawrence D'Souza"
"6","1992","Deedar","Sapna Saxena",NA,"Pramod Chakrovorty"
"7","1992","Jigar","Suman",NA,"Faroque Siddique"
"8","1993","Anari","Rajnandini",NA,"K. Murali Mohan Rao"
"9","1993","Muqabla","Karisma",NA,"T. Rama Rao"
"10","1993","Sangraam","Madhu",NA,"Lawrence D'Souza"
"11","1993","Shaktiman","Priya",NA,"K. C. Bokadia"
"12","1993","Dhanwaan","Anjali Chopra",NA,"K. Vishwanath"
"13","1994","Prem Shakti","Gouri / Karisma",NA,"Shibbu Mitra"
"14","1994","Raja Babu","Madhoo",NA,"David Dhawan"
"15","1994","Dulaara","Priya",NA,"Vimal Kumar"
"16","1994","Khuddar","Pooja",NA,"Iqbal Durrani"
"17","1994","Andaz","Jaya",NA,"David Dhawan"
"18","1994","Andaz Apna Apna","Karishma / Raveena",NA,"Rajkumar Santoshi"
"19","1994","Yeh Dillagi","Unknown","Special appearance","Naresh Malhotra"
"20","1994","Aatish","Pooja",NA,"Sanjay Gupta"
"21","1994","Suhaag","Pooja",NA,"Kuku Kohli"
"22","1994","Gopi Kishan","Barkha",NA,"Mukesh Duggal"
"23","1995","Jawab","Suman",NA,"Ajay Kashyap"
"24","1995","Maidan-E-Jung","Tulsi",NA,"K. C. Bokadia"
"25","1995","Coolie No. 1","Malti",NA,"David Dhawan"
"26","1996","Papi Gudia","Karisma",NA,"Lawrence D'Souza"
"27","1996","Megha","Megha",NA,"Mohanji Prasad"
"28","1996","Saajan Chale Sasural","Pooja",NA,"David Dhawan"
"29","1996","Krishna","Rashmi",NA,"S. Deepak"
"30","1996","Jeet","Kajal",NA,"Raj Kanwar"
"31","1996","Bal Bramhachari","Asha",NA,"Prakash Mehra"
"32","1996","Sapoot","Pooja",NA,"Jagdish Sharma"
"33","1996","Raja Hindustani","Aarti","Filmfare Award for Best Actress","Dharmesh Darshan"
"34","1996","Rakshak","Suman Sinha",NA,"Ashok Honda"
"35","1996","Ajay","Manorama",NA,"Suneel Darshan"
"36","1997","Judwaa","Mala",NA,"David Dhawan"
"37","1997","Hero No. 1","Meena Nath",NA,"David Dhawan"
"38","1997","Lahu Ke Do Rang","Heena",NA,"Mehul Kumar"
"39","1997","Mrityudaata","Reenu",NA,"Mehul Kumar"
"40","1997","Dil To Pagal Hai","Nisha","Filmfare Award for Best Supporting ActressNational Film Award for Best Supporting Actress","Yash Chopra"
"41","1999","Silsila Hai Pyar Ka","Vanshikha Mathur",NA,"Shrabani Deodhar"
"42","1999","Biwi No.1","Pooja",NA,"David Dhawan"
"43","1999","Haseena Maan Jaayegi","Ritu Verma",NA,"David Dhawan"
"44","1999","Hum Saath-Saath Hain","Sapna",NA,"Sooraj Barjatya"
"45","1999","Jaanwar","Sapna",NA,"Suneel Darshan"
"46","2000","Dulhan Hum Le Jayenge","Sapna",NA,"David Dhawan"
"47","2000","Chal Mere Bhai","Sapna",NA,"David Dhawan"
"48","2000","Hum To Mohabbat Karega","Geeta Kapoor",NA,"Kundan Shah"
"49","2000","Fiza","Fiza","Filmfare Award for Best Actress","Khalid Mohamed"
"50","2000","Shikari","Rajeshwari Rawal",NA,"N. Chandra"
"51","2001","Zubeidaa","Zubeidaa","Filmfare Critics Award for Best Actress","Shyam Benegal"
"52","2001","Aashiq","Pooja",NA,"Indra Kumar"
"53","2001","Ek Rishtaa: The Bond of Love","Nisha Thappar",NA,"Suneel Darshan"
"54","2002","Haan Maine Bhi Pyaar Kiya","Pooja Kashyap",NA,"Dharmesh Darshan"
"55","2002","Shakti: The Power","Nandini",NA,"Krishna Vamsi"
"56","2002","Rishtey","Komal",NA,"Indra Kumar"
"57","2003","Baaz: A Bird in Danger","Neha Chopra",NA,"Tinnu Verma"
"58","2006","Mere Jeevan Saathi","Natasha",NA,"Suneel Darshan"
"59","2007","Om Shanti Om","Herself","Special appearance in song ""Deewangi Deewangi""","Farah Khan"
"60","2011","Bodyguard","Chhaya","Voice only","Siddique"
"61","2012","Dangerous Ishhq","Sanjana / Geeta / Salma / Paro",NA,"Vikram Bhatt"
"62","2013","Bombay Talkies","Herself","Special appearance in song ""Apna Bombay Talkies""","Various"
