"","Year","Film","Role"
"1","1985","Patthar Dil","Rekha Singh"
"2","1985","Adventures of Tarzan","Ruby Shetty"
"3","1986","Dosti Dushmani",NA
"4","1987","Mard Ki Zabaan","Rosie"
"5","1987","Paanch Paapi",NA
"6",NA,"Mera Lahoo","Pavitra D. Singh / Geeta"
"7","1988","Zalzala","Reshma"
"8","1988","Tohfa Mohabbat Ka",NA
"9","1988","Sone Pe Suhaaga","Usha"
"10","1988","Shiv Shakti",NA
"11","1988","Mulzim","Dr. Rekha"
"12","1988","Inteqam",NA
"13","1988","Insaniyat",NA
"14","1988","Dharamyudh","Suman"
"15","1988","Dariya Dil","Radha"
"16","1988","Tamacha","Dolly Saxena"
"17","1988","Rama O Rama","Hema D'Souza"
"18","1989","Ustaad",NA
"19","1989","Meri Zabaan","Kimi / Rita"
"20","1989","Aaj Ke Shahenshah",NA
"21","1989","Kala Bazaar","Bar Owner"
"22","1989","Ab Meri Baari",NA
"23","1989","Vardi","Dr. Sonu Kaul"
"24","1989","Kahan Hai Kanoon",NA
"25","1989","Gair Kanooni","Rita"
"26","1989","Jaisi Karni Waisi Bharnii","Radha"
"27","1989","Abhimanyu","Geeta"
"28","1989","Khoj","Mrs. Anita Kapoor"
"29","1989","Gola Barood","Reema"
"30","1989","Aag Se Khelenge","Barkha 'Bijli'"
"31","1989","Shehzaade","Bijli"
"32","1990","Tejaa","Sonu"
"33","1990","Awaragardi",NA
"34","1990","Zimmedaaar","Tina"
"35","1990","Andher Gardi",NA
"36","1990","Humse Na Takrana",NA
"37","1990","Kaaranama",NA
"38","1990","Roti Ki Keemat","Bijli"
"39","1990","Sher Dil",NA
"40","1990","Taqdeer Ka Tamasha",NA
"41","1991","Jeevan Daata","Kiran Sharma"
"42","1991","Khoon Ka Karz",NA
"43","1991","Numbri Aadmi","Bijli"
"44","1991","Hum","Juma Gonzalves"
"45","1992","jumala","Anita"
"46","1992","Sarphira","Neetu"
"47","1992","Siyasat",NA
"48","1992","Zulm Ki Hukumat","Pratap's Girlfriend"
