"","Year","Film","Role","Notes","Language"
"1","1991","Azhagan","Swapna",NA,"Tamil"
"2","1991","Ennodishtam Koodamo","Aarathi Menon",NA,"Malayalam"
"3","1991","Neelagiri","Anitha",NA,"Malayalam"
"4","1991","Phool Aur Kaante","Pooja",NA,"Hindi"
"5","1992","Allari Priyudu","Kavita Rani",NA,"Telugu"
"6","1992","Ottayal Pattalam","Gopika Varma/Indu",NA,"Malayalam"
"7","1992","Roja","Roja",NA,"Tamil"
"8","1992","Vaaname Ellai",NA,NA,"Tamil"
"9","1992","Yodha","Ashwathy",NA,"Malayalam"
"10","1993","Annayya","Saraswathi",NA,"Kannada"
"11","1993","Gentleman","Susheela",NA,"Tamil"
"12","1993","Pehchaan","Tina",NA,"Hindi"
"13","1994","Elaan","Mohini Sharma",NA,"Hindi"
"14","1994","Janta Ki Adalat","Malathi",NA,"Hindi"
"15","1994","Prem Yog",NA,NA,"Hindi"
"16","1994","Puttinilla Metinilla",NA,NA,"Telugu"
"17","1994","Senthamizh Selvan","Nandhini",NA,"Tamil"
"18","1994","Time Bomb",NA,NA,"Kannada"
"19","1994","Zaalim","Madhu",NA,"Hindi"
"20","1995","Diya Aur Toofan","Aasha",NA,"Hindi"
"21","1995","Hathkadi","Rani",NA,"Hindi"
"22","1995","Hum Hain Bemisaal","Marya",NA,"Hindi"
"23","1995","Jallaad","Gayetri",NA,"Hindi"
"24","1995","Mohini","Ragini",NA,"Hindi"
"25","1995","Ravan Raaj","Geeta Suzie face",NA,"Hindi"
"26","1996","Diljale","Shabnam",NA,"Hindi"
"27","1996","Mr. Romeo","Madhu",NA,"Tamil"
"28","1996","Panchalankurichi",NA,NA,"Tamil"
"29","1996","Return of Jewel Thief","Madhu",NA,"Hindi"
"30","1997","Chilakkottudu","Madhu",NA,"Telugu"
"31","1997","Iruvar","Dancer","Special appearance in ""Narumughaye"" song","Tamil"
"32","1997","Mere Sapno Ki Rani","Vandana Nehle",NA,"Hindi"
"33","1997","Sher-E-Hindustan",NA,NA,"Hindi"
"34","1997","Udaan","Madhu",NA,"Hindi"
"35","1997","Yeshwant","Raagini Yeshwant Lohar",NA,"Hindi"
"36","1998","Ganesh","Divya",NA,"Telugu"
"37","1998","Hafta Vasuli","Inspector Durga",NA,"Hindi"
"38","1998","Khote Sikkey","Suman",NA,"Hindi"
"39","1998","Sar Utha Ke Jiyo",NA,NA,"Hindi"
"40","1999","Chehraa","Simran",NA,"Hindi"
"41","2001","Mulaqaat","Archana Patkar",NA,"Hindi"
"42","2008","Kabhi Socha Bhi Na Tha","Radhika",NA,"Hindi"
"43","2011","Love U Mr. Kalakaar!","Ritu's Aunt",NA,"Hindi"
"44","2011","Tell Me O Kkhuda","Geeta",NA,"Hindi"
"45","2013","Anthaku Mundhu Aa Tharuvatha","Vidhya",NA,"Telugu"
"46","2014","Samsaaram Aarogyathinu Haanikaram","Vidhya",NA,"Malayalam"
"47","2014","Vaayai Moodi Pesavum","Vidhya",NA,"Tamil"
"48","2015","Ranna","Saraswathi","Nominated - Filmfare Award for Best Supporting Actress","Kannada"
"49","2015","Surya vs Surya","Nikhil's Mother",NA,"Telugu"
"50","2016","Naanu Mattu Varalakshmi",NA,"Filming","Kannada"
"51","2016","Nannaku Prematho","Divya's Mother",NA,"Telugu"
