"","Year","Film","Role","Notes","Director"
"1","1984","Abodh","Gauri",NA,"Hiren Nag"
"2","1985","Awara Baap","Barkha",NA,"Sohanlal Kanwar"
"3","1986","Swati","Anandi",NA,"Kumar"
"4","1986","Manav Hatya","Rama Dixit",NA,"Sudarshan Rattan"
"5","1987","Hifazat","Janki",NA,"Prayag Raj"
"6","1987","Uttar Dakshin","Chanda",NA,"Prabhat Khanna"
"7","1988","Mohre","Maya",NA,"Raghuvir Kul"
"8","1988","Khatron Ke Khiladi","Kavita",NA,"Tatineni Rama Rao"
"9","1988","Dayavan","Neela Velhu",NA,"Feroz Khan"
"10","1988","Tezaab","Mohini","Nominated—Filmfare Award for Best Actress","N. Chandra"
"11","1989","Vardi","Jaya",NA,"Umesh Mehra"
"12","1989","Ram Lakhan","Radha Shastri",NA,"Subhash Ghai"
"13","1989","Prem Pratigyaa","Laxmi Rao","Nominated—Filmfare Award for Best Actress","Bapu"
"14","1989","Ilaaka","Vidya",NA,"Aziz Sejawal"
"15","1989","Mujrim","Sonia",NA,"Umesh Mehra"
"16","1989","Tridev","Divya Mathur",NA,"Rajiv Rai"
"17","1989","Kanoon Apna Apna","Bharathi",NA,"B. Gopal"
"18","1989","Parinda","Paro",NA,"Vidhu Vinod Chopra"
"19","1989","Paap Ka Ant","Nisha",NA,"Vijay Reddy"
"20","1990","Maha-Sangram","Jhumri",NA,"Mukul Anand"
"21","1990","Kishen Kanhaiya","Anju",NA,"Rakesh Roshan"
"22","1990","Izzatdaar","Mohini",NA,"Kovelamudi Bapayya"
"23","1990","Dil","Madhu Mehra","Filmfare Award for Best Actress","Indra Kumar"
"24","1990","Deewana Mujh Sa Nahin","Anita",NA,"Y.Nageshwar Rao"
"25","1990","Jeevan Ek Sanghursh","Madhu Sen",NA,"Rahul Rawail"
"26","1990","Sailaab","Dr. Sushma Malhotra",NA,"Deepak Balraj Vij"
"27","1990","Jamai Raja","Rekha",NA,"A. Kodandarami Reddy"
"28","1990","Thanedaar","Chanda",NA,"Raj N. Sippy"
"29","1991","Pyar Ka Devta","Devi",NA,"Kovelamudi Bapayya"
"30","1991","100 Days","Devi",NA,"Partho Ghosh"
"31","1991","Pratikar","Madhu",NA,"Tatineni Rama Rao"
"32","1991","Saajan","Pooja","Nominated—Filmfare Award for Best Actress","Lawrence D'Souza"
"33","1991","Prahaar","Shirley",NA,"Nana Patekar"
"34","1992","Beta","Saraswati","Filmfare Award for Best Actress","Indra Kumar"
"35","1992","Zindagi Ek Jua","Juhi",NA,"Prakash Mehra"
"36","1992","Prem Deewane","Shivangi Mehra",NA,"Sachin Pilgaonkar"
"37","1992","Khel","Jhari Bhuti",NA,"Rakesh Roshan"
"38","1992","Sangeet","Nirmala",NA,"K. Vishwanath"
"39","1993","Dharavi","Dreamgirl",NA,"Sudhir Mishra"
"40","1993","Sahibaan","Sahibaan",NA,"Ramesh Talwar"
"41","1993","Khalnayak","Gangotri Devi","Nominated—Filmfare Award for Best Actress","Subhash Ghai"
"42","1993","Phool","Guddi",NA,"Singeetam Srinivasa Rao"
"43","1993","Dil Tera Aashiq","Savitri Devi, Sonia Khanna",NA,"Lawrence D'Souza"
"44","1993","Aasoo Bane Angaarey","Madhu",NA,"Mehul Kumar"
"45","1994","Anjaam","Shivani Chopra","Nominated—Filmfare Award for Best Actress","Rahul Rawail"
"46","1994","Hum Aapke Hain Koun","Nisha Choudhury","Filmfare Award for Best Actress","Sooraj Barjatya"
