"","Year","Film","Role","Notes"
"1","1997","Pardes","Kusum Ganga","Winner – Filmfare Award for Best Female Debut
Nominated – Filmfare Award for Best Actress"
"2","1999","Daag: The Fire","Kajal Verma / Kajri",NA
"3","1999","Dil Kya Kare","Kavita Kishore","Nominated – Filmfare Award for Best Supporting Actress"
"4","1999","Manasulo Maata",NA,"Telugu film"
"5","1999","Pyaar Koi Khel Nahin","Nisha",NA
"6","2000","Deewane","Pooja","Guest Appearance"
"7","2000","Dhadkan","Sheetal Varma","Nominated – Filmfare Award for Best Supporting Actress"
"8","2000","Khiladi 420","Ritu Bhardwaj",NA
"9","2000","Kurukshetra","Anjali P. Singh",NA
"10","2001","Lajja","Maithili",NA
"11","2001","Yeh Teraa Ghar Yeh Meraa Ghar","Saraswati",NA
"12","2002","Bharat Bhagya Vidhata",NA,NA
"13","2002","Dil Hai Tumhaara","Nimmi",NA
"14","2002","Om Jai Jagadish","Ayesha",NA
"15","2003","Baghban","Arpita Raj","Guest Appearance"
"16","2003","LOC Kargil","Reena Yadav",NA
"17","2003","Saaya","Tanya",NA
"18","2003","Tere Naam",NA,"Special Appearance in song ""O Jaana"""
"19","2004","Dobara","Dr. Anjali Sehgal",NA
"20","2005","Bhagmati","Bhagmati","Animated (Provided Voice)"
"21","2005","Film Star","Heera Pandit",NA
"22","2005","Home Delivery","The Sensational Maya",NA
"23","2005","Kuchh Meetha Ho Jaye","Ghulab Khan",NA
"24","2005","Sehar","Anamika Kant",NA
"25","2005","The Film","Sushmita Banerjee",NA
"26","2005","Zameer: The Fire Within","Supriya Maheshwari",NA
"27","2006","Hope and a Little Sugar","Saloni",NA
"28","2006","Kudiyon Ka Hai Zamana","Anjali",NA
"29","2006","Sandwich","Sweety S Singh",NA
"30","2006","Sarhad Paar","Simran",NA
"31","2006","Souten: The Other Woman","Mitali 'Mita' R. Singh",NA
"32","2008","Gumnaam – The Mystery","Ria",NA
"33","2015","Mumbhaii - The Gangster","Gangster's Wife","Filming"
"34","2016","Dark Chocolate","Ishani Banerjee",NA
