"","Year","Film","Role","Notes"
"1","2002","Kabhie Tum Kabhie Hum","Sumona",NA
"2","2002","Divine Temple Khajuraho","Rageshwari",NA
"3","2001","Chhupa Rustam: A Musical Thriller","Sandhya",NA
"4","2001","Censor","Nisha (Censor board member)",NA
"5","1998","Qila","Neeta",NA
"6","1998","Jaane Jigar","Meenu",NA
"7","1998","China Gate","Sandhya Rajan",NA
"8","1997","Krantikari","—",NA
"9","1997","Jeevan Yudh","Kajal Choudhry",NA
"10","1997","Naseeb","Pooja",NA
"11","1996","Ghatak: Lethal","Dancer in song ""Koi Jaye To Le Aaye""",NA
"12","1996","Beqabu","Reshmi Kapoor",NA
"13","1996","Raja Aur Rangeeli","—",NA
"14","1995","Sabse Bada Khiladi","Sunita Das",NA
"15","1995","Baazi","Sanjana Roy, journalist",NA
"16","1995","Ahankaar","Naina",NA
"17","1995","Andolan","Guddi",NA
"18","1995","Karan Arjun","Bindiya",NA
"19","1995","Kismat","Madhu",NA
"20","1995","Policewala Gunda","Sudha's sister",NA
"21","1994","Vaade Iraade","Nikita Sekhri",NA
"22","1994","Dilbar","Priya Verma",NA
"23","1994","Gangster","—",NA
"24","1994","Betaaj Badshah","Tejeshwani/Gudiya",NA
"25","1994","Anokha Premyudh","Priti",NA
"26","1994","Krantiveer","Mamta",NA
"27","1993","Waqt Hamara Hai","Mamta Vidrohi",NA
"28","1993","Bhookamp","Kavita Anand",NA
"29","1993","Aashiq Awara","Jyoti",NA
"30","1993","Ashaant","Sonali",NA
"31","1992","Mera Dil Tere Liye","Priya R. Singh",NA
"32","1992","Tirangaa","Sandhya",NA
