"","Year","Film","Role","Notes"
"1","1985","Aar Paar",NA,NA
"2","1985","Andha Bichar","Special","Bengali film with Mithun"
"3","1985","Antarer Bhalobasha","Jhilik","Bengali film with Tapas Paul"
"4","1985","Mera Saathi","Shanti",NA
"5","1985","Ram Teri Ganga Maili","Ganga Singh",NA
"6","1986","Aag Aur Shola","Usha",NA
"7","1986","Jaal","Madhu",NA
"8","1986","Jeeva","Nalini",NA
"9","1986","Mazloom","Meena",NA
"10","1986","Om",NA,NA
"11","1986","Simhasanam","Visha Kanya","Telugu film"
"12","1987","Apne Apne","Ila",NA
"13","1987","Bhargava Ramudu (Telugu)","Roja",NA
"14","1987","Dance Dance","Janita",NA
"15","1987","Hawalaat","Leela",NA
"16","1987","Loha","Seema",NA
"17","1987","Param Dharam","Bijli",NA
"18","1987","Pyaar Karke Dekho","Urvashi",NA
"19","1988","Agnee","Ayushi",NA
"20","1988","Commando","Asha Malhotra",NA
"21","1988","Hum To Chale Pardes",NA,NA
"22","1988","Jeete Hain Shaan Se","Julie",NA
"23","1988","Maalamaal","Honey",NA
"24","1988","Pyaar Mohabbat",NA,NA
"25","1988","Shoorveer","Meena",NA
"26","1988","Tezaab","Nikita (special appearance)",NA
"27","1989","Aakhri Baazi","Rita",NA
"28","1989","Desh Ke Dushman","Anita Madan",NA
"29","1989","Hisaab Khoon Ka","Preet K. Kaushal",NA
"30","1989","Jung Baaz","Sangeeta Mathur/Neena Ninjo",NA
"31","1989","Kahan Hai Kanoon",NA,NA
"32","1989","Ladaai","Geeta Verma",NA
"33","1989","Na-Insaafi","Kamli",NA
"34","1989","Naag Nagin","Ichchadhari Nagin Chandni",NA
"35","1990","Dushman","Laxmi",NA
"36","1990","Jaan-E-Wafa",NA,NA
"37","1990","Naya Khoon","Dr. Seema",NA
"38","1990","Pyar Ke Naam Qurbaan","Gauri",NA
"39","1990","Shandaar","Anita Chaurasia",NA
"40","1990","Sheshnaag",NA,NA
"41","1990","Taqdeer Ka Tamasha","Rajni",NA
"42","1991","Deshwasi","Maryada Shivpal Singh",NA
"43","1996","Zordaar","Neha",NA
"44",NA,NA,NA,NA
