"","Year","Film","Role","Notes","Director","Language"
"1","1989","Pheri Bhetaula",NA,NA,"Gurung, Phurpa ChhiringPhurpa Chhiring Gurung","Nepali"
"2","1991","Saudagar","Radha",NA,"Ghai, SubhashSubhash Ghai","Hindi"
"3","1991","First Love Letter","Singh, RadhaRadha Singh",NA,"Shiva","Hindi"
"4","1992","Yalgaar","Kumar, MeghnaMeghna Kumar",NA,"Khan, FerozFeroz Khan","Hindi"
"5","1993","Insaaniyat Ke Devta","Nisha",NA,"Bokadia, K. C.K. C. Bokadia","Hindi"
"6","1993","Anmol","Anmol",NA,"Desai, KetanKetan Desai","Hindi"
"7","1993","Dhanwan","Imli",NA,"Viswanath, KasinathuniKasinathuni Viswanath","Hindi"
"8","1994","Yun Hi Kabhi","Pooja",NA,"Bhatia, KumarKumar Bhatia","Hindi"
"9","1994","Milan","Priya",NA,"Bhatt, MaheshMahesh Bhatt","Hindi"
"10","1994","1942: A Love Story","Pathak, RajeshwariRajeshwari Pathak",NA,"Chopra, Vidhu VinodVidhu Vinod Chopra","Hindi"
"11","1994","Sangdil Sanam","Sanam",NA,"Mukherjee, ShomuShomu Mukherjee","Hindi"
"12","1995","Criminal","Swetha","Simultaneously filmed in both Hindi and Telugu","Bhatt, MaheshMahesh Bhatt","HindiTelugu"
"13","1995","Bombay","Banu, ShailaShaila Banu","Filmfare Critics Award for Best ActressFilmfare Award for Best Actress – Tamil","Ratnam, ManiMani Ratnam","Tamil"
"14","1995","Anokha Andaz","Reema",NA,"D'Souza, LawrenceLawrence D'Souza","Hindi"
"15","1995","Guddu","Gupta, SalinaSalina Gupta",NA,"Lalwani, PremPrem Lalwani","Hindi"
"16","1995","Ram Shastra","Sinha, AnjaliAnjali Sinha",NA,"Gupta, SanjaySanjay Gupta","Hindi"
"17","1995","Akele Hum Akele Tum","Kumar, KiranKiran Kumar",NA,"Khan, MansoorMansoor Khan","Hindi"
"18","1995","Dushmani: A Violent Love Story","Oberoi, SapnaSapna Oberoi",NA,"Soorma, BuntyBunty Soorma","Hindi"
"19","1996","Agni Sakshi","Shubhangi/Madhu[b]",NA,"Ghosh, ParthoPartho Ghosh","Hindi"
"20","1996","Majhdhaar","Rai, RadhaRadha Rai",NA,"Shroff, EsmayeelEsmayeel Shroff","Hindi"
"21","1996","Indian","Ishwarya","Dubbed in Hindi as Hindustani","Shankar, S.S. Shankar","Tamil"
"22","1996","Khamoshi: The Musical","Annie","Filmfare Critics Award for Best Actress","Bhansali, Sanjay LeelaSanjay Leela Bhansali","Hindi"
"23","1997","Sanam","Sanam",NA,"Sejawal, AzizAziz Sejawal","Hindi"
"24","1997","Gupt: The Hidden Truth","Choudhry, SheetalSheetal Choudhry",NA,"Rai, RajivRajiv Rai","Hindi"
"25","1997","Dil Ke Jharokhe Mein","Suman",NA,"Bhattcharya, AshimAshim Bhattcharya","Hindi"
"26","1998","Yugpurush","Sunita",NA,"Ghosh, ParthoPartho Ghosh","Hindi"
"27","1998","Achanak","Pooja",NA,"Malhotra, NareshNaresh Malhotra","Hindi"
"28","1998","Dil Se..","Meghna",NA,"Ratnam, ManiMani Ratnam","Hindi"
"29","1998","Maharaja","Mathur, ShailiShaili Mathur",NA,"Sharma, AnilAnil Sharma","Hindi"
"30","1999","Kachche Dhaage","Rukhsana",NA,"Luthria, MilanMilan Luthria","Hindi"
"31","1999","Lal Baadshah","Kiran",NA,"Bokadia, K. C.K. C. Bokadia","Hindi"
"32","1999","Laawaris","Mehra, AnshuAnshu Mehra",NA,"Sharma, ShrikantShrikant Sharma","Hindi"
"33","1999","Jai Hind","Sheetal",NA,"Kumar, ManojManoj Kumar","Hindi"
"34","1999","Mudhalvan","Thenmozhi","Dubbed in Telugu as Oke Okkadu","Shankar, S.S. Shankar","Tamil"
"35","1999","Kartoos","Kaur, Manpreet ""Mini""Manpreet ""Mini"" Kaur",NA,"Bhatt, MaheshMahesh Bhatt","Hindi"
"36","1999","Mann","Verma, PriyaPriya Verma",NA,"Kumar, IndraIndra Kumar","Hindi"
"37","1999","Hindustan Ki Kasam","Roshanaara",NA,"Devgan, VeeruVeeru Devgan","Hindi"
"38","2000","Khauff","Neha",NA,"Gupta, SanjaySanjay Gupta","Hindi"
"39","2000","Baaghi","Rani",NA,"Singh, Rajesh KumarRajesh Kumar Singh","Hindi"
"40","2000","Raja Ko Rani Se Pyar Ho Gaya","Manisha",NA,"Kumar, T. K. RajeevT. K. Rajeev Kumar","Hindi"
"41","2000","Champion","Khanna, SapnaSapna Khanna",NA,"Kumar, PadamPadam Kumar","Hindi"
"42","2001","Grahan","Shastri, ParvatiParvati Shastri",NA,"Nair, Shashilal K.Shashilal K. Nair","Hindi"
"43","2001","Chhupa Rustam: A Musical Thriller","Nisha",NA,"Sejawal, AzizAziz Sejawal","Hindi"
"44","2001","Lajja","Vaidehi",NA,"Santoshi, RajkumarRajkumar Santoshi","Hindi"
"45","2001","Aalavandhan","Sharmilee","Simultaneously filmed in both Tamil and Hindi
Hindi title: Abhay","Krissna, SureshSuresh Krissna","Tamil
Hindi"
"46","2001","Moksha","Sanyal, RitikaRitika Sanyal",NA,"Mehta, AshokAshok Mehta","Hindi"
"47","2002","Company","Saroja","Filmfare Critics Award for Best Actress","Varma, Ram GopalRam Gopal Varma","Hindi"
"48","2002","Jaani Dushman: Ek Anokhi Kahani","Vasundhara
Divya",NA,"Kohli, RajkumarRajkumar Kohli","Hindi"
"49","2002","Ek Chotisi Love Story","Woman, TheThe Woman",NA,"Nair, Shashilal K.Shashilal K. Nair","Hindi"
"50","2002","Baba","Chamundeswari",NA,"Krissna, SureshSuresh Krissna","Tamil"
"51","2003","Escape from Taliban","Bannerjee, SushmitaSushmita Bannerjee/Sayed Kamal[b]",NA,"Chattopadhyaya, UjjalUjjal Chattopadhyaya","Hindi"
"52","2003","Calcutta Mail","Sanjana",NA,"Mishra, SudhirSudhir Mishra","Hindi"
