"","Year","Film","Role","Notes"
"1","1983","Mazdoor","Radha",NA
"2","1982","Prem Rog","Virendra's wife",NA
"3","1981","Ahista Ahista","Sangeeta",NA
"4","1980","Qatil Kaun",NA,NA
"5","1977","Prayashchit",NA,NA
"6","1974","Jurm Aur Sazaa","Ricky",NA
"7","1974","Asliyat",NA,NA
"8","1973","Chhalia","Suneeta / Neeta",NA
"9","1973","Naya Nasha","Reena",NA
"10","1972","Shor","Geeta",NA
"11","1972","Parineeta",NA,NA
"12","1972","Joroo Ka Ghulam","Kalpana",NA
"13","1971","Woh Din Yaad Karo",NA,NA
"14","1971","Adhikar","Meera",NA
"15","1971","Umeed",NA,NA
"16","1970","Rootha Na Karo","Neeta",NA
"17","1970","The Train","Neeta / Geeta / Kalavati / Priya",NA
"18","1969","Beti","Sudha Verma",NA
"19","1969","Dharti Kahe Pukarke","Radha",NA
"20","1969","Raja Saab","Poonam",NA
"21","1969","Ittefaq","Rekha",NA
"22","1969","Badi Didi","Bhavna",NA
"23","1968","Abhilasha","Ritu",NA
"24","1968","Juaari","Saroj",NA
"25","1967","Parivar","Meena",NA
"26","1966","Neend Hamari Khwab Tumhare","Nishad",NA
"27","1966","Pati Patni","Gauri",NA
"28","1965","Akashdeep",NA,NA
"29","1965","Bedaag","Manju",NA
"30","1965","Jab Jab Phool Khile","Rita Khanna",NA
"31","1965","Mohabbat Isko Kahete Hain","Rajani",NA
"32","1965","Teen Devian","Nanda",NA
"33","1965","Gumnaam","Asha",NA
"34","1964","Kaise Kahoon",NA,NA
"35","1964","Mera Qasoor Kya Hai",NA,NA
"36","1963","Nartakee","Lakshmi",NA
"37","1963","Aaj Aur Kal","Rajkumari Hemlata / Hema",NA
"38","1962","Aashiq",NA,NA
"39","1962","Mehndi Lagi Mere Haath","Rajani",NA
"40","1962","Ummeed",NA,NA
"41","1961","Amar Rahe Yeh Pyar","Razia Hussain",NA
"42","1961","Char Diwari","Lakshmi",NA
"43","1961","Hum Dono","Ruma",NA
"44","1960","Aanchal",NA,NA
"45","1960","Apna Ghar",NA,NA
"46","1960","Chand Mere Aja",NA,NA
"47","1960","Jo Huwa So Bhool Jao",NA,NA
"48","1960","Kala Bazar","Sapna",NA
"49","1960","Kanoon","Meena Prasad",NA
"50","1960","Usne Kaha Tha","Kamli",NA
"51","1959","Chhoti Bahen","Meena",NA
"52","1959","Dhool Ka Phool","Malati",NA
"53","1959","Naya Sansar",NA,NA
"54","1959","Pehli Raat",NA,NA
"55","1959","Qaidi No. 911",NA,NA
"56","1959","Zara Bachke",NA,NA
"57","1959","Barkha","Parvati",NA
"58","1958","Dulhan",NA,NA
"59","1957","Bandi","Shankar's Daughter",NA
"60","1957","Bhabhi","Lata",NA
"61","1957","Agra Road",NA,NA
"62","1957","Laxmi",NA,NA
"63","1957","Sakshi Gopal",NA,NA
"64","1956","Devghar",NA,NA
"65","1956","Shatranj",NA,NA
"66","1956","Toofan Aur Deeya","Nandini",NA
"67","1954","Bandish",NA,NA
"68","1954","Angarey",NA,NA
"69","1952","Jaggu",NA,"Child artist"
