"","Year","Film"
"1","","Khamosh Adalat Jaari Hai"
"2","1981","Laawaris"
"3","1989","Parinati"
"4","1994","Ek Thi Goonja"
"5","1996","Fire"
"6","1998","Earth"
"7","1998","Janmadinam"
"8","1998","Hazaar Chaurasi Ki Maa"
"9","1999","Deveeri"
"10","1999","Rockford"
"11","1999","Biswaprakash"
"12","2000","Hari-Bhari"
"13","2000","Bawandar"
"14","2000","Saanjh"
"15","2000","Dhaad"
"16","2001","Daughters of This Century"
"17","2001","Aks"
"18","2002","Aamaar Bhuvan"
"19","2002","Kannaki"
"20","2002","Solla Marantha Kathai"
"21","2002","Lal Salaam"
"22","2002","Kannathil Muthamittal"
"23","2002","Azhagi"
"24","2002","Pitaah"
"25","2003","Ek Din 24 Ghante"
"26","2003","Kagaar: Life on the Edge"
"27","2003","Shubho Mahurat"
"28","2003","Supari"
"29","2003","Bas Yun Hi"
"30","2003","Ek Alag Mausam"
"31","2004","Vishwa Thulasi"
"32","2005","Fleeting Beauty"
"33","2006","Podokkhep"
"34","2006","Maati Maay"
"35","2006","Provoked: A True Story"
"36","2006","Wonder Pets!"
"37","2007","A Drop of Life"
"38","2007","Naalu Pennungal"
"39","2007","Before the Rains"
"40","2007","Sunday Morning Shootout"
"41","2008","Ramchand Pakistani"
"42","2008","Firaaq"
"43","2009","49o Festival Thessalonikis - 19 kinimatografistes"
"44","2010","I Am"
"45","2010","55th Idea Filmfare Awards"
"46","2011","Gattu"
"47","2011","Días de cine"
"48","2012","Neer Paravai"
"49","2013","Oonga"
"50","2013","Red Monsoon"
"51","2013","Girl Rising"
"52","2014","Albert Pinto Ko Gussa Kyun Aata Hai?"
"53","2014","Rastres de sàndal"
"54","2014","Nandita Das and Divya Jagdale's Between the Lines"
"55","2015","Silence the Court is in Session"
"56","2015","Ein Fall für TKKG"
"57","2015","In All Fairness"
"58","2015","Festival de cine de San Sebastián - Gala de clausura"
"59","2015","Festival de cine de San Sebastián - Gala de inauguración"
