"","Year","Film"
"1","1966","Suraj"
"2","1966","Dus Lakh"
"3","1968","Do Dooni Char"
"4","1968","Do Kaliyaan"
"5","1969","Waris"
"6","1970","Ghar Ghar Ki Kahani"
"7","1972","Pavitra Paapi"
"8","1972","Rickshawala"
"9","1973","Yaadon Ki Baaraat"
"10","1974","Shatranj Ke Mohre"
"11","1974","Aashiana"
"12","1974","Zehreela Insaan"
"13","1974","Hawas"
"14","1975","Khel Khel Mein"
"15","1975","Rafoo Chakkar"
"16","1975","Zinda Dil"
"17","1975","Deewaar"
"18","1975","Sewak"
"19","1976","Sharafat Chod Di Maine"
"20","1976","Aadalat"
"21","1976","Shankar Dada"
"22","1976","Kabhie Kabhie"
"23","1976","Maha Chor"
"24","1977","Parvarish"
"25","1977","Amar Akbar Anthony"
"26","1977","Doosra Aadmi"
"27","1977","Zamanat"
"28","1977","Dhongee"
"29","1977","Maha Badmaash"
"30","1977","Chor Sipahee"
"31","1977","Dharam Veer"
"32","1977","Ab Kya Hoga"
"33","1977","Priyatama"
"34","1977","Andolan"
"35","1978","Kasme Vaade"
"36","1978","Heeralal Pannalal"
"37","1978","Anjane Mein"
"38","1978","Chakravyuha"
"39","1979","Jhoota Kahin Ka"
"40","1979","The Great Gambler"
"41","1979","Aatish"
"42","1979","Kaala Patthar"
"43","1979","Bhala Manus"
"44","1979","Yuvraj"
"45","1979","Duniya Meri Jeb Mein"
"46","1979","Zahreelee"
"47","1980","Chunaoti"
"48","1980","The Burning Train"
"49","1980","Dhan Daulat"
"50","1980","Choron Ki Baaraat"
"51","1981","Ek Aur Ek Gyarah"
"52","1981","Khoon Ka Rishta"
"53","1981","Yaarana"
"54","1981","Waqt Ki Deewar"
"55","1982","Chorni"
"56","1982","Raaj Mahal"
"57","1982","Teesri Aankh"
"58","1983","Ganga Meri Maa"
"59","2009","Love Aaj Kal"
"60","2010","Do Dooni Chaar"
"61","2012","Jab Tak Hai Jaan"
"62","2013","Besharam"
