"","Year","Film","Role","Notes"
"1",1976,"Zindagi","Guddu N. Shukla","as Padmini Kolapuri"
"2",1977,"Dream girl","little Orphan","as Baby Padmini"
"3",1978,"Saajan Bina Suhagan","BulBul Chopra","as Baby Padmini"
"4",1978,"Satyam Shivam Sundaram","Young Rupa","as Baby Padmini"
"5",1980,"Thodisi Bewafaii","Meenu","Nandu's Girlfriend"
"6",1980,"Gehrayee","Uma","Chenna Basappa's Daughter"
"7",1980,"Insaaf Ka Tarazu",NA,NA
"8",1981,"Ahista Ahista","Chandra",NA
"9",1981,"Zamaane Ko Dikhana Hai",NA,NA
"10",1982,"Prem Rog","Manorama (Rama)",NA
"11",1982,"Vidhaata","Durga",NA
"12",1982,"Star",NA,NA
"13",1983,"Lovers","Mary",NA
"14",1983,"Pyaar Jhukta Nahin","Preeti B. Pratap / Preeti A. Khanna",NA
"15",1983,"Mazdoor","Meena D. Saxena / Meena A. Mathur",NA
"16",1983,"Souten","Radha",NA
"17",1983,"Woh Saat Din","Maya",NA
"18",1984,"Yeh Ishq Nahin Aasaan","Salma Mirza",NA
"19",1985,"Aaj Ka Daur","Durga Agnihotri",NA
"20",1985,"Rahi Badal Gaye","Sangeeta",NA
"21",1985,"Pyari Behna","Mangla",NA
"22",1985,"Insaaf Main Karoonga","Pinky",NA
"23",1986,"Anubhav","Gauri",NA
"24",1986,"Swarag Se Sunder","Lalita Choudhury",NA
"25",1986,"Aisa Pyaar Kahan","Pooja",NA
"26",1986,"Muddat","Kalpana",NA
"27",1986,"Kirayadar","Jaya Abhyankar",NA
"28",1986,"Pyar Kiya Hai Pyar Karenge","Usha",NA
"29",1986,"Preeti","Preeti",NA
"30",1987,"Jhanjhaar",NA,NA
"31",1987,"Pyar Ke Kabil","Sangeeta A. Kapoor",NA
"32",1987,"Dadagiri",NA,NA
"33",1988,"Hum Intezaar Karenge","Manisha V. Anand",NA
"34",1989,"Dana Paani","Chanda",NA
"35",1993,"Professor Ki Padosan","Menaka Khanna",NA
"36",1999,"Rockford",NA,"Producer"
"37",2003,"Chimani Pakhar",NA,"Marathi film"
"38",2005,"Manthan",NA,"Marathi film"
"39",2006,"Souten: The Other Woman","Smita S. Singh",NA
"40",2006,"Eight: The Power of Shani","Radha S. Rai",NA
"41",2009,"Bolo Raam","Archana Kaushik","Mother of Raam"
"42",2012,"Karmayogi","Mankamma","Rudran's Mother"
"43",2012,"Mai","Madhu","Daughter Of Asha Bhosle"
"44",2013,"Phata Poster Nikla Hero","Mrs. Rao","Mother of Vishwas Rao"
"45",2015,"Karbonn",NA,NA
