"","Year","Film","Role","Notes","Director"
"1","1998","Dil Se..","Preeti Nair","Filmfare Award for Best Female Debut (also for Soldier)
Nominated—Filmfare Award for Best Supporting Actress","Mani Ratnam"
"2","1998","Premante Idera","Shailu","Telugu film
Dubbed into Hindi as Dulhan Dilwale Ki","Jayanth C. Paranjee"
"3","1998","Soldier","Preity",NA,"Abbas-Mustan"
"4","1999","Dillagi","Rani","Guest appearance","Sunny Deol"
"5","1999","Raja Kumarudu","Rani","Telugu film
Dubbed into Hindi as Prince No. 1","K. Raghavendra Rao"
"6","1999","Sangharsh","Reet Oberoi",NA,"Tanuja Chandra"
"7","2000","Har Dil Jo Pyar Karega","Jahnvi",NA,"Raj Kanwar"
"8","2000","Kya Kehna","Priya Bakshi","Nominated—Filmfare Award for Best Actress","Kundan Shah"
"9","2000","Mission Kashmir","Sufiya Parvez",NA,"Vidhu Vinod Chopra"
"10","2001","Chori Chori Chupke Chupke","Madhubala","Nominated—Filmfare Award for Best Supporting Actress","Abbas-Mustan"
"11","2001","Dil Chahta Hai","Shalini",NA,"Farhan Akhtar"
"12","2001","Farz","Kajal Singh",NA,"Raj Kanwar"
"13","2001","Yeh Raaste Hain Pyaar Ke","Sakshi",NA,"Deepak Shivdasani"
"14","2002","Dil Hai Tumhaara","Shalu",NA,"Kundan Shah"
"15","2003","Armaan","Sonia Kapoor","Nominated—Filmfare Award for Best Performance in a Negative Role","Honey Irani"
"16","2003","Hero: Love Story of a Spy, TheThe Hero: Love Story of a Spy","Reshma (Ruksar)",NA,"Anil Sharma"
"17","2003","Kal Ho Naa Ho","Naina Catherine Kapur","Filmfare Award for Best Actress","Nikhil Advani"
"18","2003","Koi... Mil Gaya","Nisha","Nominated—Filmfare Award for Best Actress","Rakesh Roshan"
"19","2004","Dil Ne Jise Apna Kahaa","Dr. Parineeta",NA,"Atul Agnihotri"
"20","2004","Lakshya","Romila Dutta",NA,"Farhan Akhtar"
"21","2004","Veer-Zaara","Zaara Haayat Khan","Nominated—Filmfare Award for Best Actress","Yash Chopra"
"22","2005","Khullam Khulla Pyaar Karen","Priti Damani",NA,"Harmesh Malhotra"
"23","2005","Salaam Namaste","Ambar 'Amby' Malhotra","Nominated—Filmfare Award for Best Actress","Siddharth Anand"
"24","2006","Alag","—","Special appearance in song ""Sabse Alag""","Jim MulliganAshu Trikha"
"25","2006","Jaan-E-Mann","Piya Goyal",NA,"Shrish Kunder"
"26","2006","Kabhi Alvida Naa Kehna","Rhea Saran","Nominated—Filmfare Award for Best Supporting Actress","Karan Johar"
"27","2006","Krrish","Nisha","Special appearance","Rakesh Roshan"
"28","2007","Jhoom Barabar Jhoom","Alvira Khan",NA,"Shaad Ali"
"29","2007","Last Lear, TheThe Last Lear","Shabnam","English language film","Rituparno Ghosh"
"30","2007","Om Shanti Om","Herself","Special appearance in song ""Deewangi Deewangi""","Farah Khan"
"31","2008","Har Pal","Runa","Unreleased","Jahnu Barua"
"32","2008","Heaven on Earth","Chand","Punjabi language Canadian film
Dubbed into Hindi as Videsh","Deepa Mehta"
"33","2008","Heroes","Kuljeet Kaur",NA,"Samir Karnik"
"34","2008","Rab Ne Bana Di Jodi","—","Special appearance in song ""Phir Milenge Chalte Chalte""","Aditya Chopra"
"35","2009","Kamaal Kayeel Raja","Jaanu","Bhojpuri film","Unknown"
"36","2009","Main Aurr Mrs Khanna","Haseena Jagmagia","Special appearance","Prem Soni"
"37","2013","Ishkq in Paris","Ishkq","Also producer and writer","Prem Raj"
"38","2014","Happy Ending","Divya","Cameo","Raj & DK"
"39","2016","Bhaiyyaji Superhitt","TBA","Filming, as of 2014","Neeraj Pathak"
