"","Year","Film"
"1","1967","Badhu Bharan"
"2","1968","Baghini"
"3","1970","Jeevan Mrityu"
"4","1971","Sharmilee"
"5","1971","Reshma Aur Shera"
"6","1971","Paaras"
"7","1971","Lal Patthar"
"8","1972","Pagli"
"9","1972","Wafaa"
"10","1972","Shehzada"
"11","1972","Yaar Mera"
"12","1972","Shaadi Ke Baad"
"13","1972","Janwar Aur Insaan"
"14","1972","Beimaan"
"15","1972","Anokhi Pehchaan"
"16","1972","Aan Baan"
"17","1972","Aankhon Aankhon Mein"
"18","1973","Heera Panna"
"19","1973","Daag"
"20","1973","Blackmail"
"21","1973","Banarasi Babu"
"22","1973","Joshila"
"23","1974","27 Down"
"24","1975","Chameli Memsaab"
"25","1975","Mere Sajna"
"26","1975","Angaarey"
"27","1976","Tapasya"
"28","1976","Kabhi Kabhie"
"29","1977","Doosra Aadmi"
"30","1978","Trishna"
"31","1978","Kasme Vaade"
"32","1978","Trishul"
"33","1978","Muqaddar Ka Sikandar"
"34","1979","Hamare Tumhare"
"35","1979","Jurmana"
"36","1979","Kaala Patthar"
"37","1980","Lootmaar"
"38","1980","Aanchal"
"39","1980","Hum Kadam"
"40","1980","Shaan"
"41","1981","Rocky"
"42","1981","Laawaris"
"43","1981","Dhuaan"
"44","1981","Barsaat Ki Ek Raat"
"45","1981","Anusandhan"
"46","1981","Baseraa"
"47","1981","Shradhanjali"
"48","1982","Yeh Vaada Raha"
"49","1982","Taaqat"
"50","1982","Shriman Shrimati"
"51","1982","Bemisal"
"52","1982","Dil Aakhir Dil Hai"
"53","1982","Shakti"
"54","1983","Bandhan Kachche Dhaagon Ka"
"55","1984","Zindagi Jeene Ke Liye"
"56","1984","Paroma"
"57","1984","Anand Aur Anand"
"58","1984","Zameen Aasmaan"
"59","1985","Saaheb"
"60","1986","Zindagani"
"61","1987","Muqaddar Ka Faisla"
"62","1987","Dacait"
"63","1988","Gold Medal"
"64","1988","Falak"
"65","1989","Ram Lakhan"
"66","1989","Santosh"
"67",NA,"Jeevan Ek Sangharsh"
"68","1991","Saugandh"
"69","1991","Pratikar"
"70","1993","Rudaali"
"71","1993","Pratimurti"
"72","1993","Khal Nayak"
"73","1993","Kshatriya"
"74","1993","Dil Ki Baazi"
"75","1993","Anari"
"76","1993","Baazigar"
"77","1995","Karan Arjun"
"78","1995","Kismat"
"79","1997","Border"
"80","1997","Jeevan Yudh"
"81","1997","Ankhon Mein Tum Ho"
"82","1998","Sham Ghansham"
"83","1998","Barood"
"84","1998","Soldier"
"85","1999","Baadshah"
"86","2001","Ek Rishtaa: The Bond of Love"
"87","2003","Talaash: The Hunt Begins"
"88","2003","Dil Ka Rishta"
"89","2003","Shubho Mahurat"
"90","2009","Classmates"
