"","Year","Film","Role","Notes","Directors"
"1","1991","Patthar Ke Phool","Kiran Khanna","Filmfare Award for New Face of the Year","Anant Balani"
"2","1992","Jeena Marna Tere Sang",NA,NA,"Vijay Reddy"
"3","1993","Pehla Nasha",NA,NA,"Ashutosh Gowariker"
"4","1993","Divya Shakti","Priya",NA,"Sameer Malkan"
"5","1993","Kshatriya","Nilima",NA,"J. P. Dutta"
"6","1993","Parampara","Vijaya",NA,"Yash Chopra"
"7","1993","Ek Hi Raasta","Priya Choudhry",NA,"Deepak Bahry"
"8","1993","Ratha Saradhi","Rekha","Telugu film","Sharath"
"9","1993","Bangaru Bullodu","Priya","Telugu film","Ravi Raja Pinisetty"
"10","1994","Zamane Se Kya Darna",NA,NA,"Bobby Raaj"
"11","1994","Dilwale","Sapna",NA,"Harry Baweja"
"12","1994","Insaniyat","Salma",NA,"Tony Juneja"
"13","1994","Imtihaan","Priti",NA,"Harry Baweja"
"14","1994","Laadla","Kajol","Nominated—Filmfare Award for Best Supporting Actress","Raj Kanwar"
"15","1994","Andaz Apna Apna","Raveena alias Karishma",NA,"Rajkumar Santoshi"
"16","1994","Aatish","Nisha",NA,"Sanjay Gupta"
"17","1994","Mohra","Roma Singh",NA,"Rajiv Rai"
"18","1994","Main Khiladi Tu Anari",NA,"Cameo appearance","Sameer Malkan"
"19","1994","Sadhu",NA,"Tamil film","P. Vasu"
"20","1995","Taqdeerwala","Lilly",NA,"K. Murali Mohan Rao"
"21","1995","Zamaana Deewana","Priya Singh",NA,"Ramesh Sippy"
"22","1995","Saajan Ki Baahon Mein","Sapna Narang",NA,"Jay Prakash"
"23","1996","Vijeta","Vijaya",NA,"K. Murali Mohan Rao"
"24","1996","Khiladiyon Ka Khiladi","Priya",NA,"Umesh Mehra"
"25","1996","Rakshak",NA,"Cameo appearance in song ""Shahar Ki Ladki""","Ashok Honda"
"26","1997","Anjaane",NA,NA,"Unknown"
"27","1997","Dus",NA,"Incomplete film","Mukul S. Anand"
"28","1997","Ziddi","Jaya",NA,"Guddu Dhanoa"
"29","1997","Daava","Seema",NA,"Sunil Agnihotri"
"30","1997","Deewana Mastana","Sexy Girl","Cameo appearance","David Dhawan"
"31","1997","Ghulam-E-Mustafa","Kavita",NA,"Partho Ghosh"
"32","1997","Vinashak – Destroyer","Kajal",NA,"Ravi Dewan"
"33","1998","Keemat – They Are Back","Sharmili",NA,"Sameer Malkan"
"34","1998","Salaakhen",NA,NA,"Guddu Dhanoa"
"35","1998","Aunty No. 1","Sandhya",NA,"Kirti Kumar"
"36","1998","Gharwali Baharwali","Kajal",NA,"David Dhawan"
"37","1998","Dulhe Raja","Kiran Singhania",NA,"Harmesh Malhotra"
"38","1998","Barood","Neha Singhal",NA,"Pramod Chakravorty"
"39","1998","Bade Miyan Chote Miyan","Seema",NA,"David Dhawan"
"40","1998","Pardesi Babu","Karuna",NA,"Manoj Agrawal"
"41","1999","Anari No.1","Sapna",NA,"Kuku Kohli"
"42","1999","Jai Hind","Gulnar",NA,"Manoj Kumar"
"43","1999","Rajaji","Payal",NA,"Vimal Kumar"
"44","1999","Shool","Manjari Singh",NA,"E. Nivas"
"45","1999","Gair","Madhu",NA,"Ashok Gaikwad"
"46","1999","Upendra",NA,"Kannada film","Upendra"
"47","2000","Tune Mera Dil Le Liya",NA,NA,"B. B. Bhalla"
"48","2000","Jung","Naina",NA,"Sanjay Gupta"
"49","2000","Bulandi","Meena",NA,"Tatineni Rama Rao"
"50","2000","Khauff",NA,"Cameo appearance","Sanjay Gupta"
"51","2000","Kahin Pyaar Na Ho Jaaye","Nisha",NA,"K. Murali Mohan Rao"
"52","2000","Ghaath",NA,NA,"Akashdeep"
"53","2001","Daman: A Victim of Marital Violence","Durga","National Film Award for Best Actress","Kalpana Lajmi"
"54","2001","Aks","Neeta","Filmfare Special Performance Award","Rakeysh Omprakash Mehra"
"55","2001","Akasa Veedhilo","Indu","Telugu film","Singeetam Srinivasa Rao"
"56","2001","Aalavandhan","Tejaswini","Tamil film","Suresh Krissna"
"57","2001","Officer","Meenal alias Pari",NA,"Naeem Shah"
"58","2002","Akhiyon Se Goli Maare","Kiran Bhangare",NA,"Harmesh Malhotra"
"59","2002","Ek Hindustani",NA,NA,"Tinu Anand"
"60","2002","Soch","Preeti Sardesai",NA,"Sushen Bhatnagar"
"61","2002","Agni Varsha","Vishaka",NA,"Arjun Sajnani"
"62","2002","Waah! Tera Kya Kehna","Salma Khan",NA,"Manoj Agrawal"
"63","2003","Satta","Anuradha Sehgal",NA,"Madhur Bhandarkar"
"64","2003","Pran Jaye Par Shaan Na Jaye","Laxmi Rathod",NA,"Sanjay Jha"
"65","2003","Stumped","Reema Seth","Also producer","Gaurav Pandey"
"66","2003","Qayamat: City Under Threat","Mamta","Cameo appearance in song ""Mujhe Tumse Mohabbat Hai""","Harry Baweja"
"67","2003","LOC Kargil","Deepak's wife",NA,"J. P. Dutta"
"68","2004","Jaago","Shraddha",NA,"Mehul Kumar"
"69","2004","Yeh Lamhe Judaai Ke","Jaya",NA,"Birendra Nath Tiwari"
"70","2004","Police Force: An Inside Story","Roma",NA,"Dileep Shukla"
"71","2004","Aan: Men at Work","Roshni Verma",NA,"Madhur Bhandarkar"
"72","2004","Ek Se Badhkar Ek","Kanchan Dhillon",NA,"Kundan Shah"
"73","2004","Dobara","Ria",NA,"Shashi Ranjan"
"74","2005","Pehchaan: The Face of Truth","Mridula","Also producer","Shrabani Deodhar"
"75","2006","Ek Din Anjaane Mein",NA,NA,"Bappaditya Roy"
"76","2006","Sandwich","Nisha",NA,"Anees Bazmee"
"77","2010","Laboratory","Sohini","Bengali film","Raja Sen"
"78","2011","Bbuddah... Hoga Terra Baap","Kamini",NA,"Puri Jagannath"
"79","2014","Pandavulu Pandavulu Tummeda","Satya","Telugu film","Sriwass"
"80","2015","Bombay Velvet","Club singer","Cameo appearance","Anurag Kashyap"
"81","2015","Jai Hind",NA,"Short film","Vinay Jaiswal"
"82","2015","2 Chehare","Radha",NA,"Ashok Gaikwad"
"83","2016","Shab","Sonal Modi","Post-production","Onir"
"84","2016","Maatr – The Mother","Vidya Chauhan","Post-production","Ashtar Sayed"
