"","Year","Film","Role","Notes"
"1",1972,"Zaroorat","Anju",NA
"2",1972,"Milap","Rani 'Chalava'/Rukmani",NA
"3",1972,"Jangal Mein Mangal","Leela",NA
"4",1973,"Nai Duniya Naye Log","Sandhya",NA
"5",1973,"Jaise Ko Taisa","Roopa",NA
"6",1974,"Madhosh","Minal",NA
"7",1974,"Goonj","Meena",NA
"8",1975,"Vardaan","Lata",NA
"9",1975,"Umar Qaid",NA,NA
"10",1975,"Rani Aur Lalpari","Lalpari",NA
"11",1975,"Apne Dushman","Reshma 'Reshu'",NA
"12",1975,"Zakhmee","Nisha Ganguly",NA
"13",1976,"Sangram","Poonam",NA
"14",1976,"Gumrah","Reena",NA
"15",1976,"Barood","Sapna — Bakshi's Assistant",NA
"16",1976,"Nagin","Nagin (female serpent)",NA
"17",1976,"Kalicharan","sapna Mathur",NA
"18",1976,"Udhar Ka Sindur","Rekha",NA
"19",1977,"Zamaanat","Reshma",NA
"20",1977,"Taxi Taxie","Neelam",NA
"21",1977,"Sat Sri Akal","Shree",NA
"22",1977,"Paapi","Aasha",NA
"23",1977,"Jagriti","Barkha",NA
"24",1977,"Daku Aur Mahatma","Kiran",NA
"25",1977,"Apnapan","Kamini Agarwal",NA
"26",1977,"Jadu Tona","Varsha",NA
"27",1977,"Jay Vejay","Maharani Ambika",NA
"28",1978,"Karmayogi","Kiran",NA
"29",1978,"Daku Aur Jawan","Ganga",NA
"30",1978,"Chor Ho To Aisa","Champa",NA
"31",1978,"Vishwanath","Soni",NA
"32",1978,"Aakhri Daku",NA,NA
"33",1978,"Badalte Rishtey","Savitri Devi",NA
"34",1978,"Bhookh","Bina",NA
"35",1979,"Muqabla","Laxmi 'lacho'",NA
"36",1979,"Heera-Moti","Neelam",NA
"37",1979,"Gautam Govinda","Dancer",NA
"38",1979,"Jaani Dushman",NA,NA
"39",1980,"Khanjar","Nisha/Preeti",NA
"40",1980,"Billa",NA,NA
"41",1981,NA,NA,NA
"42",1981,"Yari Dushmani","Pammi",NA
"43",1981,"Sau Din Saas Ki","Durga",NA
"44",1981,"Ganga Aur Suraj","Poonam",NA
"45",1981,"Kashish","Docter Seema",NA
"46",1981,"Aasha","Asha",NA
"47",1981,"Be-Reham","Kiran",NA
"48",1981,"Jawalamukhi","Anju",NA
"49",1981,"Walayati Babu","Billo",NA
"50",1981,"Dushman Dost",NA,NA
"51",1981,"Naseeb","Julie",NA
"52",1981,"Ladies Tailor","Niqat",NA
"53",1981,"Rocky","Lajwanti/Hirabai",NA
"54",1981,"Dhanwan","Asha",NA
"55",1981,"Pyaasa Sawan","Manorama",NA
"56",1981,"Jail Yatra","Shanu",NA
"57",1982,"Main Intequam Loonga","Mala Bajpai",NA
"58",1982,"Lakshmi","Lakshmi",NA
"59",1982,"Kachche Heere","Rani",NA
"60",1982,"Jeeo Aur Jeene Do","Renu",NA
"61",1982,"Do Ustad","Roopa",NA
"62",1982,"Dard Ka Rishta","Asha",NA
"63",1982,"Baghavat","Channo",NA
"64",1982,"Hathkadi","Rosie",NA
"65",1982,"Sanam Teri Kasam","Nisha",NA
"66",1982,"Badle Ki Aag","Geeta",NA
"67",1982,"Insaan","Sona",NA
"68",1982,"Dharm Kanta","Bijli",NA
"69",1982,"Deedar-E-Yaar","Qawalli Singer",NA
"70",1982,"Bezubaan","Kalpana",NA
"71",1983,"Andhaa Kanoon","Meena Srivastav",NA
"72",1983,"Arpan","Shobha",NA
"73",1983,"Prem Tapasya","Devi",NA
"74",1983,"Naukar Biwi Ka","Sandhya",NA
"75",1984,"Yaadon Ki Zanjeer","Usha",NA
"76",1984,"Raaj Tilak","Madhumati",NA
"77",1984,"Maati Maangey Khoon","Sharda",NA
"78",1984,"Asha Jyoti","Asha",NA
"79",1984,"Inteha","Anita",NA
"80",1984,"Karishmaa","Nisha",NA
"81",1985,"Kali Basti","Lajjo — Gangaram's sister",NA
"82",1985,"Ghulami","Moran",NA
"83",1985,"Ek Chitthi Pyar Bhari","Aarti Saxena",NA
"84",1985,"Hum Dono","Rani",NA
"85",1986,"Mangal Dada","Lakshmi",NA
"86",1987,"Faqeer Badshah","Dancer",NA
"87",1988,"Dharam Shatru","Renu",NA
"88",1988,"Do Waqt Ki Roti","Shalini aka Shalu",NA
"89",1993,"Bedardi","Preeti N. Saxena",NA
"90",1993,"Aadmi Khilona Hai","Ganga Verma",NA
"91",1995,"Policewala Gunda","Sudha",NA
"92",1995,"Janam Kundli","Rita R. Mehra",NA
"93",1995,"Kalyug Ke Avtaar","Reena",NA
"94",1996,"Smuggler","Usha",NA
"95",1996,"Rajkumar","Rani Maa",NA
"96",1996,"Ajay","Durga",NA
"97",1997,"Jeena O Shaan Se","Lata",NA
"98",1999,"Gair","Sharda Oberoi",NA
"99",2000,"Refugee","Amina Mohammad",NA
