"","Year","Film","Role","Notes"
"1",1966,"Rangula Ratnam",NA,"Child actressTelugu film"
"2",1969,"Operation Jackpot Nalli C.I.D 999",NA,"Kannada film"
"3",1970,"Sawan Bhadon","Chanda",NA
"4",1970,"Amma Kosam","Gita","Telugu film"
"5",1971,"Saaz Aur Sanam",NA,NA
"6",1971,"Haseenon Ka Devata","Sunita/Chabili",NA
"7",1971,"Elaan","Mala Mehta / Mary",NA
"8",1971,"Dost Aur Dushman","Special Appearance",NA
"9",1972,"Zameen Aasmaan","Kalpana",NA
"10",1972,"Sazaa","Special Appearance",NA
"11",1972,"Gora Aur Kala","Phoolwati",NA
"12",1972,"Gaon Hamara Shaher Tumhara","Parvati (Paro)",NA
"13",1972,"Ek Bechara","Kavitha",NA
"14",1972,"Do Yaar",NA,NA
"15",1972,"Double Cross","Rekha",NA
"16",1972,"Raampur Ka Lakshman","Rekha Choudhury",NA
"17",1973,"Mehmaan","Sheela",NA
"18",1973,"Khoon Khoon",NA,NA
"19",1973,"Keemat","Sudha",NA
"20",1973,"Kashmakash",NA,NA
"21",1973,"Kahani Kismat Ki","Rekha",NA
"22",1973,"Dharma","Mrs. Asha Singh",NA
"23",1973,"Barkha Bahar",NA,NA
"24",1973,"Anokhi Ada","Neeta Gupta",NA
"25",1973,"Namak Haraam","Shyama",NA
"26",1974,"Woh Main Nahin","Anjali",NA
"27",1974,"Pran Jaye Par Vachan Na Jaye","Janniya/Sheetal",NA
"28",1974,"Hawas",NA,"Guest appearance in song Aao Yaaro Gao"
"29",1974,"Duniya Ka Mela",NA,NA
"30",1974,"Do Aankhen",NA,NA
"31",1975,"Zorro","Rajkumari Rekha",NA
"32",1975,"Kahte Hain Mujhko Raja","Rina",NA
"33",1975,"Dafaa 302",NA,NA
"34",1975,"Dharmatma","Anu",NA
"35",1975,"Aakraman","Sheetal",NA
"36",1975,"Dharam Karam","Basanti",NA
"37",1976,"Suntan","Sarita",NA
"38",1976,"Khalifa","Rekha",NA
"39",1976,"Kabeela","Shobha",NA
"40",1976,"Do Anjaane","Rekha Roy/Sunita Devi",NA
"41",1976,"Aaj Ka Mahaatma","Mala",NA
"42",1976,"Nagin","Sunita",NA
