"","Year","Film","Role","Notes","Language"
"1","1993","Baazigar","Seema Chopra",NA,"Hindi"
"2","1994","Aag","Bijli",NA,"Hindi"
"3","1994","Aao Pyaar Karen","Chhaya",NA,"Hindi"
"4","1994","Main Khiladi Tu Anari","Mona/Basanti",NA,"Hindi"
"5","1995","Gambler","Ritu",NA,"Hindi"
"6","1995","Hathkadi","Neha",NA,"Hindi"
"7","1996","Chhote Sarkar","Seema",NA,"Hindi"
"8","1996","Himmat","Nisha",NA,"Hindi"
"9","1996","Mr. Romeo","Shilpa",NA,"Tamil"
"10","1996","Sahasa Veerudu Sagara Kanya","Bangaru",NA,"Telugu"
"11","1997","Auzaar","Prathna Thakur",NA,"Hindi"
"12","1997","Insaaf","Divya",NA,"Hindi"
"13","1997","Prithvi","Neha / Rashmi",NA,"Hindi"
"14","1997","Veedevadandi Babu","Nandhana",NA,"Telugu"
"15","1997","Zameer: The Awakening of a Soul","Roma Khurana",NA,"Hindi"
"16","1998","Aakrosh","Komal",NA,"Hindi"
"17","1998","Pardesi Babu","Chinni Malhotra",NA,"Hindi"
"18","1998","Preethsod Thappa","Chandana (Chandu)",NA,"Kannada"
"19","1999","Jaanwar","Mamta",NA,"Hindi"
"20","1999","Lal Baadshah","Lawyer's daughter",NA,"Hindi"
"21","1999","Shool","Special appearance",NA,"Hindi"
"22","2000","Azad","Kanaka Mahalakshmi",NA,"Telugu"
"23","2000","Dhadkan","Anjali",NA,"Hindi"
"24","2000","Jung","Tara",NA,"Hindi"
"25","2000","Kushi","Macarena",NA,"Tamil"
"26","2000","Tarkieb","Preeti Sharma",NA,"Hindi"
"27","2001","Bhalevadivi Basu","Shilpa",NA,"Telugu"
"28","2001","Indian","Anjali Rajshekar Azad",NA,"Hindi"
"29","2002","Badhaai Ho Badhaai","Radha/Banto Betty",NA,"Hindi"
"30","2002","Chor Machaaye Shor","Kaajal",NA,"Hindi"
"31","2002","Hathyar","Gauri Shivalkar",NA,"Hindi"
"32","2002","Junoon",NA,NA,"Hindi"
"33","2002","Karz","Sapna",NA,"Hindi"
"34","2002","Rishtey","Vaijanti",NA,"Hindi"
"35","2003","Darna Mana Hai","Gayathri",NA,"Hindi"
"36","2003","Ondagona Baa","Belli",NA,"Kannada"
"37","2004","Garv: Pride and Honour","Jannat",NA,"Hindi"
"38","2004","Phir Milenge","Tamanna Sahani",NA,"Hindi"
"39","2005","Auto Shankar","Money Lender",NA,"Kannada"
"40","2005","Dus","Aditi",NA,"Hindi"
"41","2005","Fareb","Neha",NA,"Hindi"
"42","2005","Khamosh: Khauff Ki Raat","Sonia",NA,"Hindi"
"43","2006","Shaadi Karke Phas Gaya Yaar","Ahana",NA,"Hindi"
"44","2007","Apne","Simran",NA,"Hindi"
"45","2007","Life in a  Metro","Shikha",NA,"Hindi"
"46","2007","Om Shanti Om","Herself","Cameo appearance in the song ""Deewangi Deewangi""","Hindi"
"47","2008","Dostana","Herself","Special appearance in the song ""Shut Up & Bounce""","Hindi"
"48","2014","Dishkiyaoon","Herself","Also Producer,
Special appearance in the song ""Tu Mere Type Ka Nahi Hai""","Hindi"
