"","Year","Film","Role","Notes","Language"
"1","1995","Sanam Harjai","Tinu",NA,"Hindi"
"2","1996","Angaara","Pooja Pascal",NA,"Hindi"
"3","1996","Bal Bramhachari","Seema Choudhary",NA,"Hindi"
"4","1996","Indraprastham","Chitra",NA,"Malayalam"
"5","1996","Muqaddar","Pooja",NA,"Hindi"
"6","1996","Tere Mere Sapne","Pooja Mathur",NA,"Hindi"
"7","1997","Abbai Gari Pelli",NA,NA,"Telugu"
"8","1997","Agni Morcha",NA,NA,"Hindi"
"9","1997","Daadagiri","Uma",NA,"Hindi"
"10","1997","Gunda Gardi",NA,NA,"Hindi"
"11","1997","Maa Nannaki Pelli","Lahari",NA,"Telugu"
"12","1997","Nerrukku Ner","Asha",NA,"Tamil"
"13","1997","Once More","Kavitha","Filmfare Award for Best Female Debut – South(also for V.I.P and Nerrukku Ner)","Tamil"
"14","1997","Poochudava","Nandini",NA,"Tamil"
"15","1997","Priya O Priya",NA,NA,"Telugu"
"16","1997","Simhada Mari","Usha",NA,"Kannada"
"17","1997","V.I.P","Priya",NA,"Tamil"
"18","1998","Auto Driver",NA,NA,"Telugu"
"19","1998","Aval Varuvala","Divya",NA,"Tamil"
"20","1998","Kannedhirey Thondrinal","Priya",NA,"Tamil"
"21","1998","Kodiesvaran",NA,"Unreleased","Tamil"
"22","1998","Kondattam","Lalitha",NA,"Tamil"
"23","1998","Natpukkaga","Prabavathy",NA,"Tamil"
"24","1999","Anari No.1","Sona",NA,"Hindi"
"25","1999","Anthapuram","Simran","Special appearance in song ""Mana Madurai""","Tamil"
"26","1999","Edhirum Pudhirum",NA,"Special appearance in song ""Totthu Totthu""","Tamil"
"27","1999","Jodi","Gayathri",NA,"Tamil"
"28","1999","Kachche Dhaage",NA,"Special appearance in song ""Khali Dil Nahi""","Hindi"
"29","1999","Kanave Kalaiyadhe","Amrita,
Saradha",NA,"Tamil"
"30","1999","Kannupada Poguthaiya","Gowri",NA,"Tamil"
"31","1999","Samarasimha Reddy","Sampangi",NA,"Telugu"
"32","1999","Sirf Tum","Herself","Special appearance","Hindi"
"33","1999","Thulladha Manamum Thullum","Rukmani","Tamil Nadu State Film Award for Best Actress","Tamil"
"34","1999","Time","Thulasi",NA,"Tamil"
"35","1999","Vaali","Priya","Cinema Express Award for Best Actress – Tamil","Tamil"
"36","2000","Annayya",NA,"Special appearance in song ""Aata Kavala""","Telugu"
"37","2000","Goppinti Alludu","Sowmya",NA,"Telugu"
"38","2000","Kalisundam Raa","Manga",NA,"Telugu"
"39","2000","Khauff","Ritu Pereira","Special appearance","Hindi"
"40","2000","Nuvvu Vastavani","Indu",NA,"Telugu"
"41","2000","Parthen Rasithen","Banu",NA,"Tamil"
"42","2000","Priyamanavale","Priya","Cinema Express Award for Best Actress – Tamil","Tamil"
"43","2000","Unnai Kodu Ennai Tharuven","Indhu",NA,"Tamil"
"44","2000","Yuvaraju","Srilatha",NA,"Telugu"
"45","2001","12B","Priya",NA,"Tamil"
"46","2001","Bava Nachadu","Kamakshi",NA,"Telugu"
"47","2001","Daddy","Shanti",NA,"Telugu"
"48","2001","Mrigaraju","Aishwarya",NA,"Telugu"
"49","2001","Narasimha Naidu","Sravanthi","Nominated - Filmfare Award for Best Actress – Telugu","Telugu"
"50","2001","Parthale Paravasam","Simi Madhava",NA,"Tamil"
