"","Year","Film","Role","Notes"
"1",1974,"Mere Saath Chal","Geeta",NA
"2",1974,"Samna","Kamley","Marathi film"
"3",1975,"Nishant","Rukumani",NA
"4",1975,"Charandas Chor","Rajkumari",NA
"5",1976,"Manthan","Bindu",NA
"6",1977,"Bhumika","Usha/Urvashi Dalvi","Winner, National Film Award for Best Actress
Nominated, Filmfare Best Actress Award"
"7",1977,"Jait Re Jait","Chindhi","Marathi Film,Winner, 25th National Film Awards (April 1978) President's Silver Medal for Best Feature Film in Marathi."
"8",1977,"Saal Solvan Chadya","Pinky","Punjabi film"
"9",1978,"Kondura / Anugraham","Parvati","Hindi / Telugu film"
"10",1978,"Gaman","Khairun Hussain",NA
"11",1978,"Sarvasakshi","Sujatha","Marathi Film"
"12",1980,"Bhavani Bhavai","Ujaan","Gujarati (Hindi dubbed) film"
"13",1980,"Aakrosh","Nagi Lahanya",NA
"14",1980,"Albert Pinto Ko Gussa Kyon Aata Hai","Joan",NA
"15",1980,"The Naxalites","Ajitha",NA
"16",1980,"Anveshane","Revati","Kannada film"
"17",1981,"Chakra","Amma","Double Winner, Filmfare Best Actress Award
National Film Award for Best Actress"
"18",1981,"Sadgati","Jhuria","TV"
"19",1981,"Tajurba",NA,NA
"20",1982,"Arth","Kavita Sanyal","Nominated, Filmfare Best Supporting Actress Award"
"21",1982,"Badle Ki Aag","Bijli",NA
"22",1982,"Bazaar","Najma","Nominated, Filmfare Best Actress Award"
"23",1982,"Bheegi Palkein","Shanti",NA
"24",1982,"Dard Ka Rishta","Dr. Anuradha",NA
"25",1982,"Dil-E-Nadaan","Sheela",NA
"26",1982,"Namak Halaal","Poonam",NA
"27",1982,"Shakti","Roma Devi",NA
"28",1982,"Sitam","Meenakshi",NA
"29",1982,"Subah",NA,"Dubbed from the original Marathi film Umbartha"
"30",1982,"Umbartha","Sulabha Mahajan","Marathi Film, Dubbed as Subah in Hindi
Winner, Marathi Rajya Chitrapat Puraskar for Best Actress"
"31",1983,"Mandi","Zeenat","Nominated, Filmfare Best Supporting Actress Award"
"32",1983,"Ghungroo","Kesarbai",NA
"33",1983,"Ardh Satya","Jyotsna Gokhale",NA
"34",1983,"Qayamat","Shashi",NA
"35",1983,"Haadsa","Asha",NA
"36",1983,"Chatpati",NA,NA
"37",1984,"Aaj Ki Aawaz","Rajni Deshmukh","Nominated, Filmfare Best Actress Award"
"38",1984,"Raavan","Ganga",NA
"39",1984,"Pet Pyaar Aur Paap",NA,NA
"40",1984,"Meraa Dost Meraa Dushman","Lali",NA
"41",1984,"Tarang","Janki",NA
"42",1984,"Shapath","Shanti",NA
"43",1984,"Kanoon Meri Mutthi Mein",NA,NA
"44",1984,"Giddh","Hanumi",NA
"45",1984,"Anand Aur Anand","Kiran",NA
"46",1984,"Farishta","Kashibai",NA
"47",1984,"Hum Do Hamare Do",NA,NA
"48",1984,"Kasam Paida Karne Wale Ki","Aarti",NA
"49",1985,"Chidambaram","Shivagami","Malayalam film"
"50",1985,"Ghulami","Sumitra Sultan Singh",NA
"51",1985,"Debshishu","Seeta","Bengali film[27]"
"52",1985,"Aakhir Kyon","Nisha",NA
"53",1985,"Meraa Ghar Mere Bachche","Geeta Bhargav",NA
"54",1985,"Jawaab","Rajni / Radha Gupta / Fredi Martis / Salma Hussain",NA
"55",1986,"Aap Ke Saath","Ganga",NA
"56",1986,"Amrit","Kamla Shrivastav",NA
"57",1986,"Dilwaala","Sumitra Devi",NA
"58",1986,"Dehleez","Deepa",NA
"59",1986,"Angaarey","Arti Varma",NA
"60",1986,"Kaanch Ki Deewar","Nisha",NA
"61",1986,"Anokha Rishta","Dr. Pramila",NA
"62",1986,"Teesra Kinara",NA,NA
"63",1987,"Mirch Masala","Sonbai",NA
"64",1987,"Dance Dance","Radha",NA
"65",1987,"Thikana","Shashi Goel",NA
"66",1987,"Sutradhar","Prerna",NA
"67",1987,"Insaniyat Ke Dushman","Lakshmi Nath",NA
"68",1987,"Ahsaan",NA,NA
"69",1987,"Raahee","Rano/Sandhya",NA
"70",1987,"Nazrana","Mukta",NA
"71",1987,"Avam","Dr. Shabnam",NA
"72",1987,"Sher Shivaji",NA,NA
"73",1988,"Waaris","Paramjit",NA
"74",1988,"Hum Farishte Nahin","Roma",NA
"75",1988,"Akarshan",NA,"Special Appearance"
"76",1989,"Galiyon Ke Badshah","Tulsi",NA
