"","Year","Film","Role","Notes","Language"
"1","1994","Aag","Parul","Hindi debutFilmfare Award for Lux New Face of the Year","Hindi"
"2","1994","Naaraaz","Sonali",NA,"Hindi"
"3","1995","Bombay",NA,"Special appearance in the song ""Humma Humma""","Tamil"
"4","1995","Gaddaar","Priya",NA,"Hindi"
"5","1995","Takkar","Mohini",NA,"Hindi"
"6","1995","The Don","Anita Malik",NA,"Hindi"
"7","1996","Apne Dam Par",NA,"Special appearance in the song ""Aara Hile Chapara Hile""","Hindi"
"8","1996","Diljale","Radhika",NA,"Hindi"
"9","1996","English Babu Desi Mem","Bijuriya",NA,"Hindi"
"10","1996","Rakshak","Dr. Pooja Malhotra",NA,"Hindi"
"11","1996","Sapoot","Kajal",NA,"Hindi"
"12","1997","Bhai","Meenu",NA,"Hindi"
"13","1997","Qahar","Neelam",NA,"Hindi"
"14","1997","Tarazu","Pooja",NA,"Hindi"
"15","1998","Angaaray","Roma",NA,"Hindi"
"16","1998","Duplicate","Lily",NA,"Hindi"
"17","1998","Humse Badhkar Kaun","Anu",NA,"Hindi"
"18","1998","Keemat - They Are Back","Mansi",NA,"Hindi"
"19","1998","Major Saab","Nisha",NA,"Hindi"
"20","1998","Zakhm","Soniya",NA,"Hindi"
"21","1999","Dahek","Sabina Bahkshi/Neelima Bahkshi",NA,"Hindi"
"22","1999","Hum Saath Saath Hain","Preeti",NA,"Hindi"
"23","1999","Kadhalar Dhinam","Roja",NA,"Tamil"
"24","1999","Kannodu Kanbathellam","Kalyani",NA,"Tamil"
"25","1999","Sarfarosh","Seema",NA,"Hindi"
"26","2000","Chal Mere Bhai","Piya","cameo appearance","Hindi"
"27","2000","Dhai Akshar Prem Ke","Nisha","cameo appearance","Hindi"
"28","2000","Dil Hi Dil Mein","Roja",NA,"Hindi"
"29","2000","Hamara Dil Aapke Paas Hai","Khushi","Star Screen Award Best Supporting Actress","Hindi"
"30","2000","Jis Desh Mein Ganga Rehta Hain","Saawni",NA,"Hindi"
"31","2000","Preethse","Kiran","Kannada debut","Kannada"
"32","2001","Lajja",NA,"Special appearance in the song ""Mujhe Saajan Ke Ghar Jaana Hai""","Hindi"
"33","2001","Love Ke Liye Kuch Bhi Karega","Sapna Chopra",NA,"Hindi"
"34","2001","Love You Hamesha","Shivani",NA,"Hindi"
"35","2001","Murari","Vasundhara","Telugu debut","Telugu"
"36","2001","Tera Mera Saath Rahen","Madhuri",NA,"Hindi"
"37","2002","Indra","Pallavi",NA,"Telugu"
"38","2002","Khadgam","Swathi",NA,"Telugu"
"39","2002","Manmadhudu","Harika",NA,"Telugu"
"40","2003","Anahat","Queen Sheelavathi",NA,"Marathi"
"41","2003","Chori Chori","Pooja",NA,"Hindi"
"42","2003","Kal Ho Naa Ho","Priya","cameo appearance","Hindi"
"43","2003","Palnati Brahmanayudu","Siva Nageswari",NA,"Telugu"
"44","2003","Pyaar Kiya Nahin Jaatha","Disha",NA,"Hindi"
"45","2004","Aga Bai Arrecha!",NA,"Special appearance in the song ""Cham Cham Karta Hai""","Marathi"
"46","2004","Shankar Dada MBBS","Dr. Sunita/ Chitti",NA,"Telugu"
"47","2013","Once Upon A Time in Mumbai Dobaara!","Mumtaz Khan","cameo appearance","Hindi"
