"","Year","Film","Role","Language"
"1","1967","Muruga",NA,"Tamil"
"2","1969","Nam Naadu","Raja","Tamil"
"3","1969","Thunaivan",NA,"Tamil"
"4","1970","Agathiyar",NA,"Tamil"
"5","1970","Penn Deivam",NA,"Tamil"
"6","1971","Babu",NA,"Tamil"
"7","1971","Sabatham","Lord Krishna","Tamil"
"8","1971","Yaanai Valartha Vanambadi Magan",NA,"Tamil"
"9","1972","Kanimuthu Paapa",NA,"Tamil"
"10","1972","Malai Nattu Mangai",NA,"Tamil"
"11","1972","Vasantha Maligai",NA,"Tamil"
"12","1973","Nanban",NA,"Tamil"
"13","1973","Deiva Kuzhandhaigal",NA,"Tamil"
"14","1973","Prarthanai",NA,"Tamil"
"15","1973","Bharatha Viilas",NA,"Tamil"
"16","1974","Thirumangalyam",NA,"Tamil"
"17","1974","Thirudi",NA,"Tamil"
"18","1974","Engal Kuladheivam",NA,"Tamil"
"19","1974","Avalukku Nihar Avale",NA,"Tamil"
"20","1976","Dasavatharam",NA,"Tamil"
"21","1976","Moondru Mudichu","Selvi","Tamil"
"22","1977","Gayathri","Gayathri","Tamil"
"23","1977","Kavikkuyil","Radha","Tamil"
"24","1977","16 Vayathinile","Mayil","Tamil"
"25","1977","Sayndhadamma Sayndhadu","Gauri","Tamil"
"26","1978","Ilaya Rani Rajalakshmi",NA,"Tamil"
"27","1978","Ganga Yamuna Kaveri",NA,"Tamil"
"28","1978","Taxi Driver",NA,"Tamil"
"29","1978","Rajavuketha Rani",NA,"Tamil"
"30","1978","Vanakkatukuriya Kathaliye",NA,"Tamil"
"31","1978","Ithu Eppadi Irukku",NA,"Tamil"
"32","1978","Machanai Partheengala",NA,"Tamil"
"33","1978","Manidharil Ithanai Nirangala",NA,"Tamil"
"34","1978","Mudisooda Mannan","Rupa","Tamil"
"35","1978","Pilot Premnath",NA,"Tamil"
"36","1978","Sigappu Rojakkal","Sarada","Tamil"
"37","1978","Priya","Priya","Tamil"
"38","1978","Kannan Oru Kai Kuzhandhai",NA,"Tamil"
"39","1978","Rajavuukeththa Rani",NA,"Tamil"
"40","1978","Sakka Podu Podu Raja",NA,"Tamil"
"41","1979","Arumbugal",NA,"Tamil"
"42","1979","Dharma Yuddham","Chitra","Tamil"
