"","Year","Film","Role","Notes"
"1","1996","Dastak","Sushmita Sen",NA
"2","1997","Ratchagan","Soniya","Tamil film"
"3","1997","Zor","Aarti",NA
"4","1999","Biwi No.1","Rupali","Filmfare Best Supporting Actress Award"
"5","1999","Hindustan Ki Kasam","Priya",NA
"6","1999","Mudhalvan",NA,"Special appearance (song)Tamil film"
"7","1999","Sirf Tum","Neha","Nominated—Filmfare Best Supporting Actress Award"
"8","2000","Aaghaaz","Sudha",NA
"9","2000","Fiza",NA,"Special appearance (song)"
"10","2001","Bas Itna Sa Khwaab Hai","Lara Oberoi",NA
"11","2001","Kyo Kii Main Jhuth Nahin Bolta","Sonam",NA
"12","2001","Nayak: The Real Hero",NA,"Special appearance (song)"
"13","2002","Aankhen","Neha Srivastav",NA
"14","2002","Filhaal","Sia Sheth","Nominated—Filmfare Best Supporting Actress Award"
"15","2002","Tumko Na Bhool Paayenge","Mehak",NA
"16","2003","Pran Jaye Par Shaan Na Jaye","Herself","Special appearance"
"17","2003","Samay: When Time Strikes","ACP Malvika Chauhan",NA
"18","2004","Main Hoon Na","Miss Chandni Chopra",NA
"19","2004","Paisa Vasool","Baby",NA
"20","2004","Vaastu Shastra","Dr. Jhilmil Rao",NA
"21","2005","Bewafaa","Aarti",NA
"22","2005","Chingaari","Basanti",NA
"23","2005","It Was Raining That Night","Ayesha Sahani","Bengali / English language film"
"24","2005","Kisna: The Warrior Poet","Naima Begum","Special appearance (song)"
"25","2005","Main Aisa Hi Hoon","Advocate Neeti Khanna/Neeti Chhahal",NA
"26","2005","Maine Pyaar Kyun Kiya?","Naina",NA
"27","2006","Alag",NA,"Special appearance (song)"
"28","2006","Zindaggi Rocks","Kriya",NA
"29","2007","Ram Gopal Varma Ki Aag","Durga/Devi aka Durga Devi",NA
"30","2009","Do Knot Disturb","Kiran",NA
"31","2009","Karma Aur Holi","Meera",NA
"32","2010","Dulha Mil Gaya","Shimmer Kanhai",NA
"33","2010","No Problem","Kajal",NA
"34","2015","Nirbaak",NA,NA
"35","2016","Happy Anniversary",NA,NA
"36","2016","Jodi emon hoto",NA,NA
