"","Year","Film","Role","Notes"
"1","1995","Barsaat","Tina Oberoi",NA
"2","1996","Dil Tera Diwana","Komal",NA
"3","1996","Jaan","Kajal",NA
"4","1997","Itihaas","Naina",NA
"5","1997","Uff! Yeh Mohabbat","Sonia Verma",NA
"6","1998","Jab Pyaar Kisise Hota Hai","Komal Sinha",NA
"7","1999","Baadshah","Seema Malhotra",NA
"8","1999","International Khiladi","Payal",NA
"9","1999","Seenu","Shwetha","Telugu language film"
"10","1999","Yeh Hai Mumbai Meri Jaan","Jasmine Arora",NA
"11","1999","Zulmi","Komal Dutt",NA
"12","2000","Chal Mere Bhai","Puja","Special appearance"
"13","2000","Joru Ka Ghulam","Durga",NA
"14","2000","Mela","Roopa Singh",NA
"15","2001","Jodi No.1","Tina",NA
"16","2001","Love Ke Liye Kuch Bhi Karega","Anjali",NA
"17","2010","Tees Maar Khan","As herself","Co-producer; Special appearance"
"18","2011","Patiala House","—","Co-producer"
"19","2011","Thank You","—","Co-producer"
"20","2012","Khiladi 786","—","Co-producer"
"21","2013","72 Miles","—","Co-producer; Marathi language film"
"22","2014","Holiday: A Soldier Is Never Off Duty","—","Co-producer"
