"","name","http_link"
"1","Abhik Mukhopadhyay","https://en.wikipedia.org/wiki/Abhik_Mukhopadhyay"
"2","Amal Neerad","https://en.wikipedia.org/wiki/Amal_Neerad"
"3","Anil Mehta","https://en.wikipedia.org/wiki/Anil_Mehta"
"4","Aravinnd Singh","https://en.wikipedia.org/wiki/Aravinnd_Singh"
"5","Arbhindu saaraa","https://en.wikipedia.org/wiki/Arbhindu_saaraa"
"6","Arthur A. Wilson","https://en.wikipedia.org/wiki/Arthur_A._Wilson"
"7","Arvind Krishna","https://en.wikipedia.org/wiki/Arvind_Krishna"
"8","Ashok Kumar","https://en.wikipedia.org/wiki/Ashok_Kumar_(cinematographer)"
"9","Ashok Mehta","https://en.wikipedia.org/wiki/Ashok_Mehta"
"10","Baba Azmi","https://en.wikipedia.org/wiki/Baba_Azmi"
"11","Balu Mahendra","https://en.wikipedia.org/wiki/Balu_Mahendra"
"12","Barun Mukherjee","https://en.wikipedia.org/wiki/Barun_Mukherjee"
"13","Binod Pradhan","https://en.wikipedia.org/wiki/Binod_Pradhan"
"14","Chota K. Naidu","https://en.wikipedia.org/wiki/Chota_K._Naidu"
"15","Debu Deodhar","https://en.wikipedia.org/wiki/Debu_Deodhar"
"16","Dinesh Babu","https://en.wikipedia.org/wiki/Dinesh_Babu"
"17","Fali Mistry","https://en.wikipedia.org/wiki/Fali_Mistry"
"18","Govind Nihalani","https://en.wikipedia.org/wiki/Govind_Nihalani"
"19","Jayanan Vincent","https://en.wikipedia.org/wiki/Jayanan_Vincent"
"20","Jeeva","https://en.wikipedia.org/wiki/Jeeva_(director)"
"21","Jomon T. John","https://en.wikipedia.org/wiki/Jomon_T._John"
"22","K V Anand","https://en.wikipedia.org/wiki/K_V_Anand"
"23","K. U. Mohanan","https://en.wikipedia.org/wiki/K._U._Mohanan"
"24","K.K. Mahajan","https://en.wikipedia.org/wiki/K.K._Mahajan"
"25","K.K. Senthil Kumar","https://en.wikipedia.org/wiki/K.K._Senthil_Kumar"
"26","K.V. Guhan","https://en.wikipedia.org/wiki/K.V._Guhan"
"27","Kamal Bose","https://en.wikipedia.org/wiki/Kamal_Bose"
"28","M J Radhakrishnan","https://en.wikipedia.org/wiki/M_J_Radhakrishnan"
"29","Madhu Ambat","https://en.wikipedia.org/wiki/Madhu_Ambat"
"30","Mahesh Muthuswami","https://en.wikipedia.org/wiki/Mahesh_Muthuswami"
"31","Manoj Paramahamsa","https://en.wikipedia.org/wiki/Manoj_Paramahamsa"
"32","Marcus Bartley","https://en.wikipedia.org/wiki/Marcus_Bartley"
"33","Om Prakash","https://en.wikipedia.org/wiki/Om_Prakash_(Cinematographer)"
"34","P. S. Nivas","https://en.wikipedia.org/wiki/P._S._Nivas"
"35","P.C. Sreeram","https://en.wikipedia.org/wiki/P.C._Sreeram"
"36","P.G. Vinda","https://en.wikipedia.org/wiki/P.G._Vinda"
"37","Padmesh","https://en.wikipedia.org/wiki/Padmesh"
"38","Paul Livingstone","https://en.wikipedia.org/wiki/Paul_Livingstone_(cinematographer)"
"39","Prasad Murella","https://en.wikipedia.org/wiki/Prasad_Murella"
"40","R. D. Rajasekhar","https://en.wikipedia.org/wiki/R._D._Rajasekhar"
"41","R. Madhi","https://en.wikipedia.org/wiki/R._Madhi"
"42","R. Rathnavelu","https://en.wikipedia.org/wiki/R._Rathnavelu"
"43","Rajeev Ravi","https://en.wikipedia.org/wiki/Rajeev_Ravi"
"44","Rajesh Yadav","https://en.wikipedia.org/wiki/Rajesh_Yadav"
"45","Rajiv Menon","https://en.wikipedia.org/wiki/Rajiv_Menon"
"46","Ramachandra Babu","https://en.wikipedia.org/wiki/Ramachandra_Babu"
"47","Ramananda Sengupta","https://en.wikipedia.org/wiki/Ramananda_Sengupta"
"48","Rasool Ellore","https://en.wikipedia.org/wiki/Rasool_Ellore"
"49","Ravi K. Chandran","https://en.wikipedia.org/wiki/Ravi_K._Chandran"
"50","Ravi Varman","https://en.wikipedia.org/wiki/Ravi_Varman"
"51","S. Gopal Reddy","https://en.wikipedia.org/wiki/S._Gopal_Reddy"
"52","Samalabhasker","https://en.wikipedia.org/wiki/Samalabhasker"
"53","Sameer Reddy","https://en.wikipedia.org/wiki/Sameer_Reddy"
"54","Sameer Thahir","https://en.wikipedia.org/wiki/Sameer_Thahir"
"55","Santosh Sivan","https://en.wikipedia.org/wiki/Santosh_Sivan"
"56","Santosh Thundiyil","https://en.wikipedia.org/wiki/Santosh_Thundiyil"
"57","Satish Motling","https://en.wikipedia.org/wiki/Satish_Motling"
"58","Sejal Shah","https://en.wikipedia.org/wiki/Sejal_Shah"
"59","Shaji Kumar","https://en.wikipedia.org/wiki/Shaji_Kumar"
"60","Shaji N. Karun","https://en.wikipedia.org/wiki/Shaji_N._Karun"
"61","Shyam K. Naidu","https://en.wikipedia.org/wiki/Shyam_K._Naidu"
"62","Sivakumar Vijayan","https://en.wikipedia.org/wiki/Sivakumar_Vijayan"
"63","Subrata Mitra","https://en.wikipedia.org/wiki/Subrata_Mitra"
"64","Sudeep Chatterjee","https://en.wikipedia.org/wiki/Sudeep_Chatterjee"
"65","Sunny Joseph","https://en.wikipedia.org/wiki/Sunny_Joseph"
"66","Thiru","https://en.wikipedia.org/wiki/Tirru"
"67","V. Manikandan","https://en.wikipedia.org/wiki/V._Manikandan"
"68","Vijay C Chakravarthy","https://en.wikipedia.org/wiki/Vijay_C_Chakravarthy"
"69","Vijay C. Kumar","https://en.wikipedia.org/wiki/Vijay_C._Kumar"
"70","Vishal Sinha","https://en.wikipedia.org/wiki/Vishal_Sinha"
