"","name","http_link"
"1","List of Indian film directors","https://en.wikipedia.org/wiki/List_of_Indian_film_directors"
"2","Aabavanan","https://en.wikipedia.org/wiki/Aabavanan"
"3","Manish Acharya","https://en.wikipedia.org/wiki/Manish_Acharya"
"4","Srikanth Addala","https://en.wikipedia.org/wiki/Srikanth_Addala"
"5","Vijay Adhiraj","https://en.wikipedia.org/wiki/Vijay_Adhiraj"
"6","K. S. Adhiyaman","https://en.wikipedia.org/wiki/K._S._Adhiyaman"
"7","Sai Kiran Adivi","https://en.wikipedia.org/wiki/Sai_Kiran_Adivi"
"8","Nikkhil Advani","https://en.wikipedia.org/wiki/Nikkhil_Advani"
"9","Pankaj Advani","https://en.wikipedia.org/wiki/Pankaj_Advani_(director)"
"10","Jyoti Prasad Agarwala","https://en.wikipedia.org/wiki/Jyoti_Prasad_Agarwala"
"11","Harman Aggarwal","https://en.wikipedia.org/wiki/Harman_Aggarwal"
"12","Jalal Agha","https://en.wikipedia.org/wiki/Jalal_Agha"
"13","Atul Agnihotri","https://en.wikipedia.org/wiki/Atul_Agnihotri"
"14","Sunil Agnihotri","https://en.wikipedia.org/wiki/Sunil_Agnihotri"
"15","Vivek Agnihotri","https://en.wikipedia.org/wiki/Vivek_Agnihotri"
"16","I. Ahmed","https://en.wikipedia.org/wiki/I._Ahmed"
"17","Sanjay Amar","https://en.wikipedia.org/wiki/Sanjay_Amar"
"18","Ameerjan","https://en.wikipedia.org/wiki/Ameerjan"
"19","Kamal Amrohi","https://en.wikipedia.org/wiki/Kamal_Amrohi"
"20","Ketan Anand","https://en.wikipedia.org/wiki/Ketan_Anand"
"21","Siddharth Anand","https://en.wikipedia.org/wiki/Siddharth_Anand"
"22","Sivakumar Ananth","https://en.wikipedia.org/wiki/Sivakumar_Ananth"
"23","P. Anil","https://en.wikipedia.org/wiki/P._Anil"
"24","Alberrt Antoni","https://en.wikipedia.org/wiki/Alberrt_Antoni"
"25","Aneesh Anwar","https://en.wikipedia.org/wiki/Aneesh_Anwar"
"26","A. P. Arjun","https://en.wikipedia.org/wiki/A._P._Arjun"
"27","Chandan Arora","https://en.wikipedia.org/wiki/Chandan_Arora"
"28","Sanjay Arora","https://en.wikipedia.org/wiki/Sanjay_Arora"
"29","Panchu Arunachalam","https://en.wikipedia.org/wiki/Panchu_Arunachalam"
"30","S. D. Arvind","https://en.wikipedia.org/wiki/S._D._Arvind"
"31","R. Aravindraj","https://en.wikipedia.org/wiki/R._Aravindraj"
"32","Alleppey Ashraf","https://en.wikipedia.org/wiki/Alleppey_Ashraf"
"33","Danish Aslam","https://en.wikipedia.org/wiki/Danish_Aslam"
"34","Asrani","https://en.wikipedia.org/wiki/Asrani"
"35","Atlee","https://en.wikipedia.org/wiki/Atlee_(director)"
"36","Mudassar Aziz","https://en.wikipedia.org/wiki/Mudassar_Aziz"
"37","Daljit Singh Baath","https://en.wikipedia.org/wiki/Daljit_Singh_Baath"
"38","Babubhai Mistry","https://en.wikipedia.org/wiki/Babubhai_Mistry"
"39","Sarvottam Badami","https://en.wikipedia.org/wiki/Sarvottam_Badami"
"40","Badri","https://en.wikipedia.org/wiki/Badri_(director)"
"41","Judhajit Bagchi","https://en.wikipedia.org/wiki/Judhajit_Bagchi"
"42","Bala","https://en.wikipedia.org/wiki/Bala_(director)"
"43","K. Balachander","https://en.wikipedia.org/wiki/K._Balachander"
"44","R. Balki","https://en.wikipedia.org/wiki/R._Balki"
"45","Sagar Ballary","https://en.wikipedia.org/wiki/Sagar_Ballary"
"46","R. Balu","https://en.wikipedia.org/wiki/R._Balu"
"47","Chandrashekar Bandiyappa","https://en.wikipedia.org/wiki/Chandrashekar_Bandiyappa"
"48","Bappaditya Bandopadhyay","https://en.wikipedia.org/wiki/Bappaditya_Bandopadhyay"
"49","Sudip Bandyopadhyay","https://en.wikipedia.org/wiki/Sudip_Bandyopadhyay_(director)"
"50","Dibakar Banerjee","https://en.wikipedia.org/wiki/Dibakar_Banerjee"
"51","Chandra Barot","https://en.wikipedia.org/wiki/Chandra_Barot"
"52","Aamir Bashir","https://en.wikipedia.org/wiki/Aamir_Bashir"
"53","Kenny Basumatary","https://en.wikipedia.org/wiki/Kenny_Basumatary"
"54","Ritesh Batra","https://en.wikipedia.org/wiki/Ritesh_Batra"
"55","Harry Baweja","https://en.wikipedia.org/wiki/Harry_Baweja"
"56","Rajinder Singh Bedi","https://en.wikipedia.org/wiki/Rajinder_Singh_Bedi"
"57","Goldie Behl","https://en.wikipedia.org/wiki/Goldie_Behl"
"58","Kanu Behl","https://en.wikipedia.org/wiki/Kanu_Behl"
"59","Shyam Benegal","https://en.wikipedia.org/wiki/Shyam_Benegal"
"60","Mandeep Benipal","https://en.wikipedia.org/wiki/Mandeep_Benipal"
"61","Sisir Bhaduri","https://en.wikipedia.org/wiki/Sisir_Bhaduri"
"62","S. K. Bhagavan","https://en.wikipedia.org/wiki/S._K._Bhagavan"
"63","K. Bhagyaraj","https://en.wikipedia.org/wiki/K._Bhagyaraj"
"64","Anup Bhandari","https://en.wikipedia.org/wiki/Anup_Bhandari"
"65","Sanjay Leela Bhansali","https://en.wikipedia.org/wiki/Sanjay_Leela_Bhansali"
"66","Tanikella Bharani","https://en.wikipedia.org/wiki/Tanikella_Bharani"
"67","Bharathan","https://en.wikipedia.org/wiki/Bharathan_(Tamil_director)"
"68","Marumalarchi Bharathi","https://en.wikipedia.org/wiki/Marumalarchi_Bharathi"
"69","P. Bharathiraja","https://en.wikipedia.org/wiki/P._Bharathiraja"
"70","Smita Bharti","https://en.wikipedia.org/wiki/Smita_Bharti"
"71","H. S. Bhatavdekar","https://en.wikipedia.org/wiki/H._S._Bhatavdekar"
"72","Satyajit Bhatkal","https://en.wikipedia.org/wiki/Satyajit_Bhatkal"
"73","Basu Bhattacharya","https://en.wikipedia.org/wiki/Basu_Bhattacharya"
"74","Jayasree Bhattacharyya","https://en.wikipedia.org/wiki/Jayasree_Bhattacharyya"
"75","Ranadeep Bhattacharyya","https://en.wikipedia.org/wiki/Ranadeep_Bhattacharyya"
"76","Deven Bhojani","https://en.wikipedia.org/wiki/Deven_Bhojani"
"77","Sachin Bhowmick","https://en.wikipedia.org/wiki/Sachin_Bhowmick"
"78","Lalet Bist","https://en.wikipedia.org/wiki/Lalet_Bist_(Lalit_Bisht)"
"79","Amit Bose","https://en.wikipedia.org/wiki/Amit_Bose"
"80","Debaki Bose","https://en.wikipedia.org/wiki/Debaki_Bose"
"81","Satyen Bose","https://en.wikipedia.org/wiki/Satyen_Bose_(director)"
"82","Aliakbar Campwala","https://en.wikipedia.org/wiki/Aliakbar_Campwala"
