"","name","http_link"
"1","Aadesh Shrivastava","https://en.wikipedia.org/wiki/Aadesh_Shrivastava"
"2","Aby Tom Cyriac","https://en.wikipedia.org/wiki/Aby_Tom_Cyriac"
"3","Abhimann Roy","https://en.wikipedia.org/wiki/Abhimann_Roy"
"4","Achu Rajamani","https://en.wikipedia.org/wiki/Achu_Rajamani"
"5","Adnan Sami","https://en.wikipedia.org/wiki/Adnan_Sami"
"6","Ajay-Atul","https://en.wikipedia.org/wiki/Ajay%E2%88%92Atul"
"7","Anand Bakshi","https://en.wikipedia.org/wiki/Anand_Bakshi"
"8","Amit Trivedi","https://en.wikipedia.org/wiki/Amit_Trivedi"
"9","Anand Raj Anand","https://en.wikipedia.org/wiki/Anand_Raj_Anand"
"10","Anand–Milind","https://en.wikipedia.org/wiki/Anand%E2%80%93Milind"
"11","Anand Modak","https://en.wikipedia.org/wiki/Anand_Modak"
"12","Anil Biswas","https://en.wikipedia.org/wiki/Anil_Biswas_(composer)"
"13","Anil Mohile","https://en.wikipedia.org/wiki/Anil_Mohile"
"14","Anirudh Ravichander","https://en.wikipedia.org/wiki/Anirudh_Ravichander"
"15","Anoop Seelin","https://en.wikipedia.org/wiki/Anoop_Seelin"
"16","Anu Malik","https://en.wikipedia.org/wiki/Anu_Malik"
"17","Arjuna Harjai","https://en.wikipedia.org/wiki/Arjuna_Harjai"
"18","Arjun Janya","https://en.wikipedia.org/wiki/Arjun_Janya"
"19","Arun Paudwal","https://en.wikipedia.org/wiki/Arun_Paudwal"
"20","Ashok Patki","https://en.wikipedia.org/wiki/Ashok_Patki"
"21","Avadhoot Gupte","https://en.wikipedia.org/wiki/Avadhoot_Gupte"
"22","C. Ashwath","https://en.wikipedia.org/wiki/C._Aswath"
"23","S. D. Burman","https://en.wikipedia.org/wiki/S._D._Burman"
"24","S. P. Balasubrahmanyam","https://en.wikipedia.org/wiki/S._P._Balasubrahmanyam"
"25","M. S. Baburaj","https://en.wikipedia.org/wiki/Baburaj"
"26","Bappi Lahiri","https://en.wikipedia.org/wiki/Bappi_Lahiri"
"27","Bennet–Veetraag","https://en.wikipedia.org/wiki/Bennet%E2%80%93Veetraag"
"28","Berny-Ignatius","https://en.wikipedia.org/wiki/Berny-Ignatius"
"29","Bharathwaj","https://en.wikipedia.org/wiki/Bharathwaj"
"30","Bhaskar Chandavarkar","https://en.wikipedia.org/wiki/Bhaskar_Chandavarkar"
"31","Bhavatharini","https://en.wikipedia.org/wiki/Bhavatharini"
"32","Bhupen Hazarika","https://en.wikipedia.org/wiki/Bhupen_Hazarika"
"33","Bijibal","https://en.wikipedia.org/wiki/Bijibal"
"34","Baba Sehgal","https://en.wikipedia.org/wiki/Baba_Sehgal"
"35","Chakri","https://en.wikipedia.org/wiki/Chakri_(composer)"
"36","Chitragupta","https://en.wikipedia.org/wiki/Chitragupta_(composer)"
"37","Chowdiah","https://en.wikipedia.org/wiki/Chowdiah"
"38","Colonial Cousins","https://en.wikipedia.org/wiki/Colonial_Cousins"
"39","V. Dakshinamoorthy","https://en.wikipedia.org/wiki/V._Dakshinamoorthy"
"40","Damodar Raao","https://en.wikipedia.org/wiki/Damodar_Raao"
