"","name","http_link"
"1","2D Entertainment","https://en.wikipedia.org/wiki/2D_Entertainment"
"2","2nz Animation Co.","https://en.wikipedia.org/wiki/2nz_Animation_Co."
"3","14 Reels Entertainment","https://en.wikipedia.org/wiki/14_Reels_Entertainment"
"4","24 Frames Factory","https://en.wikipedia.org/wiki/24_Frames_Factory"
"5","Aamir Khan Productions","https://en.wikipedia.org/wiki/Aamir_Khan_Productions"
"6","Aashirvad Cinemas","https://en.wikipedia.org/wiki/Aashirvad_Cinemas"
"7","Abhishek Pictures","https://en.wikipedia.org/wiki/Abhishek_Pictures"
"8","AGS Entertainment","https://en.wikipedia.org/wiki/AGS_Entertainment"
"9","Ajay Devgn FFilms","https://en.wikipedia.org/wiki/Ajay_Devgn_FFilms"
"10","Amigos Creations","https://en.wikipedia.org/wiki/Amigos_Creations"
"11","Amitabh Bachchan Corporation","https://en.wikipedia.org/wiki/Amitabh_Bachchan_Corporation"
"12","Anandi Art Creations","https://en.wikipedia.org/wiki/Anandi_Art_Creations"
"13","Anjana Productions","https://en.wikipedia.org/wiki/Anjana_Productions"
"14","Annapurna Studios","https://en.wikipedia.org/wiki/Annapurna_Studios"
"15","Anurag Kashyap Films","https://en.wikipedia.org/wiki/Anurag_Kashyap_Films"
"16","Anwar Rasheed Entertainments","https://en.wikipedia.org/wiki/Anwar_Rasheed_Entertainments"
"17","Apoorva Chitra","https://en.wikipedia.org/wiki/Apoorva_Chitra"
"18","Aran Media Works","https://en.wikipedia.org/wiki/Aran_Media_Works"
"19","Arka Media Works","https://en.wikipedia.org/wiki/Arka_Media_Works"
"20","ASA Productions and Enterprises","https://en.wikipedia.org/wiki/ASA_Productions_and_Enterprises"
"21","Ath Entertainment","https://en.wikipedia.org/wiki/Ath_Entertainment"
"22","Aurora Film Corporation","https://en.wikipedia.org/wiki/Aurora_Film_Corporation"
"23","G. Mahesh Babu Entertainment Pvt. Ltd","https://en.wikipedia.org/wiki/G._Mahesh_Babu_Entertainment_Pvt._Ltd"
"24","Bad Monkey (production company)","https://en.wikipedia.org/wiki/Bad_Monkey_(production_company)"
"25","Balaji Motion Pictures","https://en.wikipedia.org/wiki/Balaji_Motion_Pictures"
"26","Balaji Telefilms","https://en.wikipedia.org/wiki/Balaji_Telefilms"
"27","Baweja Movies","https://en.wikipedia.org/wiki/Baweja_Movies"
