"","name","http_link"
"1","Madhureeta Anand","https://en.wikipedia.org/wiki/Madhureeta_Anand"
"2","Umarji Anuradha","https://en.wikipedia.org/wiki/Umarji_Anuradha"
"3","Aruna Raje","https://en.wikipedia.org/wiki/Aruna_Raje"
"4","Nupur Asthana","https://en.wikipedia.org/wiki/Nupur_Asthana"
"5","Madhuri Banerjee","https://en.wikipedia.org/wiki/Madhuri_Banerjee"
"6","Shibani Bathija","https://en.wikipedia.org/wiki/Shibani_Bathija"
"7","Radha Bharadwaj","https://en.wikipedia.org/wiki/Radha_Bharadwaj"
"8","Shonali Bose","https://en.wikipedia.org/wiki/Shonali_Bose"
"9","Kamna Chandra","https://en.wikipedia.org/wiki/Kamna_Chandra"
"10","Ismat Chughtai","https://en.wikipedia.org/wiki/Ismat_Chughtai"
"11","Deedi Damodaran","https://en.wikipedia.org/wiki/Deedi_Damodaran"
"12","Vibhavari Deshpande","https://en.wikipedia.org/wiki/Vibhavari_Deshpande"
"13","Sabrina Dhawan","https://en.wikipedia.org/wiki/Sabrina_Dhawan"
"14","Kanika Dhillon","https://en.wikipedia.org/wiki/Kanika_Dhillon"
"15","Meghna Gulzar","https://en.wikipedia.org/wiki/Meghna_Gulzar"
"16","Anvita Dutt Guptan","https://en.wikipedia.org/wiki/Anvita_Dutt_Guptan"
"17","Honey Irani","https://en.wikipedia.org/wiki/Honey_Irani"
"18","Urmi Juvekar","https://en.wikipedia.org/wiki/Urmi_Juvekar"
"19","Reema Kagti","https://en.wikipedia.org/wiki/Reema_Kagti"
"20","Kalki Koechlin","https://en.wikipedia.org/wiki/Kalki_Koechlin"
"21","Kalpana Lajmi","https://en.wikipedia.org/wiki/Kalpana_Lajmi"
"22","Kavitha Lankesh","https://en.wikipedia.org/wiki/Kavitha_Lankesh"
"23","Lalitha Lenin","https://en.wikipedia.org/wiki/Lalitha_Lenin"
"24","Anjali Menon","https://en.wikipedia.org/wiki/Anjali_Menon"
"25","Ishita Moitra","https://en.wikipedia.org/wiki/Ishita_Moitra"
"26","Nandita Roy","https://en.wikipedia.org/wiki/Nandita_Roy"
"27","Nitya Mehra","https://en.wikipedia.org/wiki/Nitya_Mehra"
"28","Jaya Ojha","https://en.wikipedia.org/wiki/Jaya_Ojha"
"29","Kaajal Oza Vaidya","https://en.wikipedia.org/wiki/Kaajal_Oza_Vaidya"
"30","Sai Paranjpye","https://en.wikipedia.org/wiki/Sai_Paranjpye"
"31","Swapna Patker","https://en.wikipedia.org/wiki/Swapna_Patker"
"32","Sudha Kongara","https://en.wikipedia.org/wiki/Sudha_Kongara"
"33","Kiran Rao","https://en.wikipedia.org/wiki/Kiran_Rao"
"34","Pamela Rooks","https://en.wikipedia.org/wiki/Pamela_Rooks"
"35","Arundhati Roy","https://en.wikipedia.org/wiki/Arundhati_Roy"
"36","Sukhmani Sadana","https://en.wikipedia.org/wiki/Sukhmani_Sadana"
"37","Deepa Sahi","https://en.wikipedia.org/wiki/Deepa_Sahi"
"38","Konkona Sen Sharma","https://en.wikipedia.org/wiki/Konkona_Sen_Sharma"
"39","Aparna Sen","https://en.wikipedia.org/wiki/Aparna_Sen"
"40","Gauri Shinde","https://en.wikipedia.org/wiki/Gauri_Shinde"
"41","Shomshuklla","https://en.wikipedia.org/wiki/Shomshuklla"
"42","Suhasini Maniratnam","https://en.wikipedia.org/wiki/Suhasini_Maniratnam"
"43","Tanuja Chandra","https://en.wikipedia.org/wiki/Tanuja_Chandra"
"44","Sooni Taraporevala","https://en.wikipedia.org/wiki/Sooni_Taraporevala"
"45","Anuraadha Tewari","https://en.wikipedia.org/wiki/Anuraadha_Tewari"
"46","Utkarshini Vashishtha","https://en.wikipedia.org/wiki/Utkarshini_Vashishtha"
"47","Leena Yadav","https://en.wikipedia.org/wiki/Leena_Yadav"
"48","Shama Zaidi","https://en.wikipedia.org/wiki/Shama_Zaidi"
"49","Zoya Akhtar","https://en.wikipedia.org/wiki/Zoya_Akhtar"
