"","name","http_link"
"1","A. S. A. Sami","https://en.wikipedia.org/wiki/A._S._A._Sami"
"2","Sajeed A.","https://en.wikipedia.org/wiki/Sajeed_A."
"3","Khwaja Ahmad Abbas","https://en.wikipedia.org/wiki/Khwaja_Ahmad_Abbas"
"4","Abhishek Krishnan","https://en.wikipedia.org/wiki/Abhishek_Krishnan"
"5","John Abraham","https://en.wikipedia.org/wiki/John_Abraham_(director)"
"6","T. M. Abraham","https://en.wikipedia.org/wiki/T._M._Abraham"
"7","Vijay Krishna Acharya","https://en.wikipedia.org/wiki/Vijay_Krishna_Acharya"
"8","Homi Adajania","https://en.wikipedia.org/wiki/Homi_Adajania"
"9","Taran Adarsh","https://en.wikipedia.org/wiki/Taran_Adarsh"
"10","Nikkhil Advani","https://en.wikipedia.org/wiki/Nikkhil_Advani"
"11","Pankaj Advani","https://en.wikipedia.org/wiki/Pankaj_Advani_(director)"
"12","Gajendra Ahire","https://en.wikipedia.org/wiki/Gajendra_Ahire"
"13","Ashim Ahluwalia","https://en.wikipedia.org/wiki/Ashim_Ahluwalia"
"14","I. Ahmed","https://en.wikipedia.org/wiki/I._Ahmed"
"15","Farhan Akhtar","https://en.wikipedia.org/wiki/Farhan_Akhtar"
"16","Ikram Akhtar","https://en.wikipedia.org/wiki/Ikram_Akhtar"
"17","James Albert","https://en.wikipedia.org/wiki/James_Albert_(screenwriter)"
"18","Haidar Ali","https://en.wikipedia.org/wiki/Haidar_Ali_(actor)"
"19","Imtiaz Ali","https://en.wikipedia.org/wiki/Imtiaz_Ali_(director)"
"20","Abrar Alvi","https://en.wikipedia.org/wiki/Abrar_Alvi"
"21","Kamal Amrohi","https://en.wikipedia.org/wiki/Kamal_Amrohi"
"22","Chetan Anand","https://en.wikipedia.org/wiki/Chetan_Anand_(director)"
"23","Inder Raj Anand","https://en.wikipedia.org/wiki/Inder_Raj_Anand"
"24","Siddharth Anand","https://en.wikipedia.org/wiki/Siddharth_Anand"
"25","Suneil Anand","https://en.wikipedia.org/wiki/Suneil_Anand"
"26","Vijay Anand","https://en.wikipedia.org/wiki/Vijay_Anand_(filmmaker)"
"27","Uday Ananthan","https://en.wikipedia.org/wiki/Uday_Ananthan"
"28","Sasidharan Arattuvazhi","https://en.wikipedia.org/wiki/Sasidharan_Arattuvazhi"
"29","Rajat Arora","https://en.wikipedia.org/wiki/Rajat_Arora"
"30","Panchu Arunachalam","https://en.wikipedia.org/wiki/Panchu_Arunachalam"
"31","Nag Ashwin","https://en.wikipedia.org/wiki/Nag_Ashwin"
"32","K. Asif","https://en.wikipedia.org/wiki/K._Asif"
"33","Premankur Atorthy","https://en.wikipedia.org/wiki/Premankur_Atorthy"
"34","Pralhad Keshav Atre","https://en.wikipedia.org/wiki/Pralhad_Keshav_Atre"
"35","Amitabh Aurora","https://en.wikipedia.org/wiki/Amitabh_Aurora"
"36","Srinivas Avasarala","https://en.wikipedia.org/wiki/Srinivas_Avasarala"
"37","Rajendra Singh Babu","https://en.wikipedia.org/wiki/Rajendra_Singh_Babu"
"38","Badri","https://en.wikipedia.org/wiki/Badri_(director)"
"39","Judhajit Bagchi","https://en.wikipedia.org/wiki/Judhajit_Bagchi"
"40","Vikas Bahl","https://en.wikipedia.org/wiki/Vikas_Bahl"
"41","K. Balachander","https://en.wikipedia.org/wiki/K._Balachander"
"42","C. V. Balakrishnan","https://en.wikipedia.org/wiki/C._V._Balakrishnan"
"43","Anant Balani","https://en.wikipedia.org/wiki/Anant_Balani"
"44","R. Balki","https://en.wikipedia.org/wiki/R._Balki"
"45","Sharadindu Bandyopadhyay","https://en.wikipedia.org/wiki/Sharadindu_Bandyopadhyay"
"46","Dibakar Banerjee","https://en.wikipedia.org/wiki/Dibakar_Banerjee"
